p_i,p_a,rsquared,rmse
0,0,0.4065188866295461,4.4042490818220035
0,1,0.05102309374637953,5.825675753123879
0,2,0.32042321963464354,4.699917512538051
0,3,0.04079284637605988,5.906818206964013
0,4,0.306410326989064,4.751055521382819
0,5,0.03726450154569098,5.924854297337146
0,6,0.4315419265721737,4.31820208518559
0,7,0.0625242104424479,5.741524234732336
0,8,0.34630526659527344,4.607479462435
0,9,0.04670256956250972,5.863751878534778
0,10,0.34371335098607236,4.617025188825261
0,11,0.04545662657009496,5.869381864794473
0,12,0.4960600949966731,4.0763143476863855
0,13,0.08259988510567919,5.652116352004982
0,14,0.39298076402945065,4.439611898929487
0,15,0.06543984486602435,5.776636346937205
0,16,0.3874960573470908,4.459690773644548
0,17,0.07117964172348148,5.741577774219942
0,18,0.38193964888189025,4.485914527129138
0,19,0.04978793167750948,5.829058478620822
0,20,0.31078475584489257,4.735752681152972
0,21,0.04059635457274236,5.910425313183781
0,22,0.30036491712692887,4.773174226571316
0,23,0.03949565926735536,5.922353649248951
0,24,0.41948786795344284,4.3571165072434095
0,25,0.05743779199645639,5.774438602341305
0,26,0.3427051624032707,4.620303790273816
0,27,0.04502867626724804,5.877057225350729
0,28,0.33252562924443724,4.657397751528892
0,29,0.04406920138896684,5.881406692354977
0,30,0.4888040436868341,4.101554752817055
0,31,0.081852306112034,5.658781715982501
0,32,0.391245360805605,4.445932082080335
0,33,0.06430503527462361,5.774194846067901
0,34,0.3833289669518232,4.475025902265528
0,35,0.06281224932894422,5.786178709895954
0,36,0.47109262480164626,4.186345933411205
0,37,0.07835391571029295,5.641002204306557
0,38,0.36160094610997995,4.552883761371041
0,39,0.05864008719173344,5.773771331025783
0,40,0.36226247036274717,4.550539670587137
0,41,0.05868760002085546,5.7802712735287685
0,42,0.42605078428877163,4.3338700651518804
0,43,0.06421566102463065,5.742089670441974
0,44,0.33382857980944675,4.653051630967268
0,45,0.05102117719679993,5.847210820390134
0,46,0.32468744121372745,4.68632925739479
0,47,0.05039037448948204,5.844280723738611
0,48,0.4419346413788953,4.271873674547974
0,49,0.0686884195828821,5.72058686121461
0,50,0.35394428826996527,4.581585497889707
0,51,0.05414236817019247,5.834558567761855
0,52,0.3532055189361858,4.584553647416366
0,53,0.05365678332960637,5.8417956978721435
0,54,0.4138859095448365,4.3773004270863956
0,55,0.05615108383056267,5.7821996023106355
0,56,0.3401548061944224,4.6296686367734186
0,57,0.04413142027437667,5.881268624757849
0,58,0.3382604543586744,4.63634338696322
0,59,0.04382463958918131,5.885313437659036
0,60,0.4515564693842157,4.247400815010996
0,61,0.06536064367012254,5.720992647849316
0,62,0.35400264483811084,4.5803931517103535
0,63,0.05184260639336308,5.8302189266102395
0,64,0.3492479453926318,4.59751843061324
0,65,0.04950925436306558,5.84966243135253
0,66,0.49622321202479264,4.070012344994286
0,67,0.08965615138291275,5.6251037675032185
0,68,0.3914208805727556,4.445546812357829
0,69,0.06569201886245485,5.778046068235137
0,70,0.39361609273207787,4.437514527029861
0,71,0.06353547107039258,5.795490037573776
0,72,0.42009398819459154,4.359991696982819
0,73,0.05478080193025751,5.7930360266931
0,74,0.32388014236793244,4.687971394475344
0,75,0.044413775547745234,5.880710787121409
0,76,0.32642768360957786,4.678924984883896
0,77,0.04275245447349256,5.889597808896553
0,78,0.44356015158386924,4.27830935793833
0,79,0.06031153540293402,5.753230201421822
0,80,0.35413738329044636,4.5797784905725685
0,81,0.0498051550451506,5.8491719839226235
0,82,0.34274869265468016,4.620616875724732
0,83,0.04523492012444362,5.878209629994232
0,84,0.4966744592359841,4.070663657389234
0,85,0.09040780164286119,5.616803787322077
0,86,0.38546303743772736,4.467304736530278
0,87,0.0712988973799583,5.742491315104028
0,88,0.3877596382069918,4.458841125065285
0,89,0.0655701052487369,5.77407102189153
0,90,0.5042945821702768,4.087508966439339
0,91,0.08791616989537972,5.581540906972585
0,92,0.37462484997804246,4.507348489937666
0,93,0.06278453963454692,5.736278747479178
0,94,0.3733420774372109,4.511825197219251
0,95,0.06238233564718082,5.74325326880577
0,96,0.47126173920026876,4.188265417984449
0,97,0.0706919004558661,5.68961867512095
0,98,0.3604802529977915,4.556865202453484
0,99,0.054501852747946555,5.812580345200864
0,100,0.35256738876095484,4.585174497217896
0,101,0.05329739750348815,5.825423636949708
0,102,0.460201680075788,4.207797140225764
0,103,0.07348891375102173,5.692845420172597
0,104,0.3685892337752965,4.528339115269219
0,105,0.05438926987477243,5.832010843039305
0,106,0.36500911552444615,4.541460024613506
0,107,0.05725306120891969,5.813810857443643
0,108,0.4320979580362543,4.3170156990315265
0,109,0.06318205608570607,5.7433081645182
0,110,0.3424649638994009,4.621770893394916
0,111,0.04935801448715627,5.8512951177213175
0,112,0.34178588899979434,4.623885559789661
0,113,0.04873558803386338,5.851025427308312
0,114,0.46301070271141853,4.206073780338269
0,115,0.07074053146485877,5.699414420972736
0,116,0.36455800948794786,4.542486196202981
0,117,0.0586474314795944,5.79315367807509
0,118,0.36411444887446254,4.543954629299734
0,119,0.054406277420296044,5.823267583990688
0,120,0.5118788727296725,4.013671399546097
0,121,0.08963201283982342,5.626525792683668
0,122,0.39414199919444093,4.435855118064322
0,123,0.06905690343296761,5.762416377475712
0,124,0.3940527094912439,4.435965433140493
0,125,0.06927325229368651,5.758422691884987
0,126,0.43341826673533296,4.312689917456484
0,127,0.061102952178914594,5.753868877742878
0,128,0.3435873543573527,4.617589766813061
0,129,0.04699665599971044,5.863137232452439
0,130,0.3227179878484218,4.693121550266815
0,131,0.04798816125528789,5.853587480111865
0,132,0.452594006984123,4.244033527522323
0,133,0.06962548773487445,5.703490414563471
0,134,0.3585670155636693,4.5638768151613895
0,135,0.052502852014918965,5.828301880274666
0,136,0.3522189583279945,4.586701708057484
0,137,0.05034868863904916,5.8475715996289654
0,138,0.5023458408741397,4.05054886100245
0,139,0.0920173749392176,5.613937312039565
0,140,0.39500938337188024,4.432422193715382
0,141,0.06857548494284213,5.763891588111471
0,142,0.3865816419686801,4.463579856292306
0,143,0.06765113941536331,5.7677391331418635
0,144,0.526647068340373,4.012292803639973
0,145,0.09369718814504414,5.545148231405907
0,146,0.3942483440052109,4.438377078984163
0,147,0.06691912002275573,5.716323448607803
0,148,0.39008221600900334,4.452725736069277
0,149,0.06676228091962831,5.7185726076349885
0,150,0.49718284097534865,4.092966682009622
0,151,0.08096865453446053,5.626876624689755
0,152,0.3633909666177701,4.546487657887408
0,153,0.05887364739482057,5.785616334458248
0,154,0.3585694130856827,4.5636655567018805
0,155,0.05747862404663268,5.788478655408252
0,156,0.4716414389357098,4.16655337429662
0,157,0.07515763275364731,5.686527388876311
0,158,0.3774974885710288,4.496041131236388
0,159,0.05834923585037202,5.806818422421626
0,160,0.363358802960834,4.547626691803836
0,161,0.05633654784237839,5.820631477247889
1,0,0.8373568411780423,2.3653366745263606
1,1,0.46008391984150154,4.190295407392585
1,2,0.7849246497198487,2.679806596431105
1,3,0.4228284305005597,4.329118226382451
1,4,0.7752337884757463,2.736058718708398
1,5,0.41391949204941514,4.3624020121371325
1,6,0.8480277618126281,2.2850035927785255
1,7,0.49738186219264957,4.051549493070888
1,8,0.7997423527189206,2.585282428685868
1,9,0.44274627280378315,4.254609229459708
1,10,0.7975056868937666,2.5970096696533713
1,11,0.4400792761033872,4.264830254957553
1,12,0.8698803036419752,2.089080580117141
1,13,0.5327982364948789,3.90635599886589
1,14,0.8197386116390338,2.4362850337464605
1,15,0.48132195460065047,4.104599501566933
1,16,0.8173167831876107,2.45363120953827
1,17,0.49591288036338915,4.047458478527424
1,18,0.8245737320202777,2.448519370200891
1,19,0.4585831224424553,4.196617464935717
1,20,0.7775200809204506,2.7206489314057767
1,21,0.42112899316926655,4.3354318908778735
1,22,0.7710571190499197,2.760345257717092
1,23,0.41570979025393934,4.3556731326180875
1,24,0.8420600525839673,2.3240792980801714
1,25,0.4830341611257458,4.105541850507511
1,26,0.7978045866351833,2.5981035928871523
1,27,0.4366099374336023,4.277550714570069
1,28,0.790783363403251,2.6386382782370967
1,29,0.43459184984519234,4.285228226674948
1,30,0.8668897330330761,2.111998956263777
1,31,0.5300217774134606,3.9166174317080817
1,32,0.8193478271445575,2.4402362381000313
1,33,0.48231992214455544,4.101482340558614
1,34,0.814871501279834,2.4693819311682716
1,35,0.47724642051028915,4.120934236092869
1,36,0.8646297708025608,2.162090367471282
1,37,0.5401217033213238,3.8906784867321855
1,38,0.8085581968178707,2.5299744959957926
1,39,0.48301887684006745,4.1041957905417465
1,40,0.8090380320386968,2.527220191569604
1,41,0.480030749278544,4.114227038175905
1,42,0.8446102331989993,2.3035852709408116
1,43,0.49668225204472755,4.051376442988351
1,44,0.790953264495264,2.635772991496117
1,45,0.45040479809182027,4.224908021234181
1,46,0.7851906172183929,2.6707309085324926
1,47,0.45158390177132135,4.220911700451007
1,48,0.8490791228491893,2.256017557849941
1,49,0.5055238698377921,4.0161008986107705
1,50,0.8005952451741521,2.5680013078903565
1,51,0.4561802959192471,4.202497471581121
1,52,0.799770775868926,2.572052241837441
1,53,0.4530746575033219,4.2142317742686926
1,54,0.8399087797563495,2.3421070193456712
1,55,0.4796139452991299,4.118557220085254
1,56,0.7958462414234119,2.6086594261599516
1,57,0.4346655328573876,4.284936405193457
1,58,0.7949605632084732,2.6150763341875076
1,59,0.4328733571638962,4.291554555499425
1,60,0.8557788215491968,2.2220828944045237
1,61,0.5063702453289357,4.018351970734494
1,62,0.8025938664319102,2.56151395820004
1,63,0.45787826537677706,4.197495306871214
1,64,0.7999051573408278,2.578812415358263
1,65,0.4492215761905472,4.229863318785827
1,66,0.8686952257524965,2.091604215092616
1,67,0.5426292842890142,3.8637793507816784
1,68,0.8181136940822159,2.444883058261115
1,69,0.4807350364227645,4.1067146097239196
1,70,0.8191016720916379,2.437629652825648
1,71,0.473464108205867,4.134933366773021
1,72,0.8439975411426681,2.3211502708682037
1,73,0.4747735552611587,4.1363503090028955
1,74,0.78627403446513,2.669127971493797
1,75,0.43490747072065805,4.283965899478584
1,76,0.7877719028899266,2.6594784015987134
1,77,0.4307477615668815,4.29965852509115
1,78,0.8534111190494782,2.2465946748207255
1,79,0.4924280705374699,4.070823210458328
1,80,0.8030225444417758,2.5600325392406127
1,81,0.4494465135567457,4.228912425836842
1,82,0.7967168532270601,2.601145340059034
1,83,0.4361757834484916,4.279053304889177
1,84,0.8692886664672256,2.0894976802302305
1,85,0.5460813010641815,3.8511407873885415
1,86,0.8156610536899417,2.463083456539277
1,87,0.49552582745668283,4.048821312397533
1,88,0.8168784552542867,2.455047050901363
1,89,0.48237913115501924,4.100602656627075
1,90,0.8787366993457391,2.0646608551357084
1,91,0.5649348615131776,3.7984626998691238
1,92,0.8169518598323234,2.480751161998535
1,93,0.4998243020461893,4.043347449151539
1,94,0.8163118925470143,2.4849069925260054
1,95,0.49658927517656487,4.054336015440522
1,96,0.8651196475447378,2.1618594918563026
1,97,0.5196244303692756,3.9675691588268105
1,98,0.8075707386652465,2.534514500509143
1,99,0.4657829873692041,4.167547142200777
1,100,0.802854077171936,2.5639783361837916
1,101,0.4600964202084668,4.188591185867159
1,102,0.8566954382254858,2.1985574123313065
1,103,0.5170084967452862,3.9714646182940427
1,104,0.8085997217031052,2.5157345186462137
1,105,0.4572880846743293,4.198305624344509
1,106,0.8064230128128538,2.529310008936838
1,107,0.4652552260172949,4.167760181030547
1,108,0.8485684961053258,2.2826023936292836
1,109,0.4963523975873916,4.053915334310167
1,110,0.7962903935496463,2.6029668759830873
1,111,0.4484488918774574,4.232749777273716
1,112,0.7965775587704418,2.603422506239935
1,113,0.4485153302814513,4.232831743174461
1,114,0.8600345515411204,2.1862518597044236
1,115,0.5148257230501759,3.9827324577935608
1,116,0.8077486676047444,2.526161433392334
1,117,0.47422952892319764,4.134487913955797
1,118,0.8083648036080711,2.524837926530469
1,119,0.46109299256002034,4.1843428327510654
1,120,0.8747372961716618,2.043315077690452
1,121,0.5420107842344313,3.865884944037876
1,122,0.8187154337864505,2.438333870932119
1,123,0.4873066456343528,4.080665323908027
1,124,0.819131814603563,2.4368915737383805
1,125,0.4889814969214866,4.0742382971715925
1,126,0.8490944575193395,2.2788391090321407
1,127,0.4919184032196069,4.071317543885303
1,128,0.797224004870796,2.598007212275735
1,129,0.44297711165951875,4.253661628812773
1,130,0.7841863269377447,2.6778766752760825
1,131,0.44728529752376106,4.237678670668349
1,132,0.856266400649463,2.218715545740542
1,133,0.5132771178196922,3.989457352049034
1,134,0.8053835881416952,2.544470478372096
1,135,0.4587582681626505,4.193911536617312
1,136,0.8018327456546007,2.5673863603966036
1,137,0.45015510160747607,4.226104349839904
1,138,0.8715825797208014,2.0715228672284196
1,139,0.5468044996670235,3.846498548863786
1,140,0.8195905242294729,2.4337666618020717
1,141,0.4867151916509736,4.083066493229612
1,142,0.815299053454329,2.4628457851840735
1,143,0.4850781480914414,4.0896079719149805
1,144,0.8863733611274172,1.9992350894678905
1,145,0.5802834717365247,3.7429296393341014
1,146,0.8267877529489256,2.413649789234663
1,147,0.5080591865575151,4.010485354007059
1,148,0.8244630302252405,2.428336240594427
1,149,0.5070526685233624,4.013878345176883
1,150,0.873726008998832,2.083146437302758
1,151,0.5458066638424933,3.8685624064126922
1,152,0.8084334083423852,2.5265814896913734
1,153,0.47761039910691033,4.122372375906171
1,154,0.8067938034581714,2.5408774537520764
1,155,0.4764440833428536,4.127769194646089
1,156,0.8611264332493836,2.162965394185661
1,157,0.5194028124770805,3.9612514829107566
1,158,0.8129188078191473,2.4857466650350872
1,159,0.4682769398999109,4.156156070547109
1,160,0.8052169594346257,2.536263218532361
1,161,0.46232792260917954,4.178925811720129
2,0,0.4725164753460436,4.16094567688955
2,1,0.08127557224273778,5.666810580599426
2,2,0.38572826961847423,4.466040315089896
2,3,0.06712220322258707,5.755567088647098
2,4,0.3712333047166074,4.51915927537376
2,5,0.06251515264686061,5.7756493841108325
2,6,0.49645180781603954,4.073146330477588
2,7,0.09689424226163434,5.5752321369793
2,8,0.4118287010829063,4.370472892462414
2,9,0.07515752115355286,5.708370692301113
2,10,0.40908742452310387,4.380386549106913
2,11,0.07357222734322054,5.714644039447155
2,12,0.5563622876727522,3.829405520056378
2,13,0.12150327565934026,5.477343416400485
2,14,0.4571734840313937,4.1987374575924035
2,15,0.09858694856557951,5.612323030482011
2,16,0.45184554747790584,4.219185757783215
2,17,0.10596969577178568,5.574118031153588
2,18,0.4483885863278384,4.244808824503978
2,19,0.07979753957838558,5.670637230101686
2,20,0.3756250127569944,4.503283478004834
2,21,0.06677400577411435,5.759525999480722
2,22,0.36496617801266995,4.542165297802866
2,23,0.06516361333956752,5.7724976288610295
2,24,0.4847830396737369,4.112945417180604
2,25,0.0901581351964652,5.611070049586989
2,26,0.40823440433745356,4.383700694432242
2,27,0.07283718271959763,5.72295559500277
2,28,0.3977493497481197,4.422099678539073
2,29,0.0716270386724116,5.7277534527373755
2,30,0.5495942545233701,3.8548792467273976
2,31,0.12045285412182202,5.48449267826441
2,32,0.45555185748240584,4.205104866468993
2,33,0.0974640795793536,5.609890174497926
2,34,0.44769744276569595,4.234922610517851
2,35,0.09543352409561444,5.62289023099466
2,36,0.5338433699636398,3.9391058806382406
2,37,0.11780240215214711,5.466053838832747
2,38,0.4272151763754107,4.314209863994115
2,39,0.09143693690178316,5.610283182011208
2,40,0.4278922923413657,4.311783061989464
2,41,0.09123893284187867,5.617195811366137
2,42,0.4910147432688429,4.089299864432785
2,43,0.09865933475247854,5.57554939101965
2,44,0.39896661082642193,4.417652466195376
2,45,0.08048961436270903,5.689969829522557
2,46,0.38963909541488434,4.452092126371854
2,47,0.079885742627337,5.6869672835213745
2,48,0.5057223230437161,4.026706901663332
2,49,0.1042291459496543,5.5520305232763505
2,50,0.418810687893206,4.3440814788291044
2,51,0.08434820883785116,5.6759228394222845
2,52,0.41799173025976605,4.34717501655931
2,53,0.08357477573651191,5.683732496561924
2,54,0.47946981400032174,4.133504851457061
2,55,0.08846674056749022,5.619571390148232
2,56,0.4055617276811927,4.393400736590162
2,57,0.07170208148517458,5.727592062053499
2,58,0.40369709526971903,4.40028286133703
2,59,0.07123364734900385,5.731953709634079
2,60,0.5153181146304955,4.001260907978022
2,61,0.10074913858069956,5.552942237700132
2,62,0.41924610199945206,4.342670297865013
2,63,0.08197274929169915,5.671675789883214
2,64,0.4144828814022036,4.360318010112498
2,65,0.07874573726829236,5.69281377290777
2,66,0.5563207470146521,3.823551483793258
2,67,0.12983166687427383,5.447788824975595
2,68,0.45548428655693995,4.204934789951358
2,69,0.09879979055623227,5.613809031274493
2,70,0.4576019004877012,4.196745395078397
2,71,0.09588309434914806,5.632710888242175
2,72,0.48568840536782704,4.115622611811244
2,73,0.0865741945703383,5.631340229084579
2,74,0.38911991197006685,4.453707216717774
2,75,0.07202831577695709,5.726979518028514
2,76,0.3916828939895476,4.4443335590151225
2,77,0.06987719856597151,5.736777495550093
2,78,0.5079245996048789,4.032472401719659
2,79,0.09407852933089063,5.588011078953168
