SubjectInfo.age_at_birth,SubjectInfo.gender,SubjectInfo.language_list,SubjectInfo.subjID,SubjectInfo.testAge,SubjectInfo.sessionNumber,Trials.trialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,Looks.duration_onLooks
40 or more weeks,f,en de vi,5MDcFP,386.0,1,fam-number-fam9,0,,34.344,False,,34.344
40 or more weeks,f,en de vi,5MDcFP,386.0,1,test-number-fam9,1,,0.05,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05
40 or more weeks,f,en de vi,5MDcFP,386.0,1,fam-number-famrepeat-1,2,,44.998999999999995,False,,44.998999999999995
40 or more weeks,f,en de vi,5MDcFP,386.0,1,test-number-famrepeat-1,3,,44.418,False,,44.418
40 or more weeks,f,en de vi,5MDcFP,386.0,1,fam-background-fam9,4,,60.325,False,,60.325
40 or more weeks,f,en de vi,5MDcFP,386.0,1,test-background-fam9,5,,0.05,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05
39 weeks,m,en es,6QWG3G,229.0,1,fam-background-fam9,0,0.5563019811197195,44.999,False,,40.679
39 weeks,m,en es,6QWG3G,229.0,1,test-background-fam9,1,0.3566521816063151,40.342,False,,11.309000000000001
39 weeks,m,en es,6QWG3G,229.0,1,fam-pose-fam8,2,,39.999,False,,39.999
39 weeks,m,en es,6QWG3G,229.0,1,test-pose-fam8,3,,40.329,False,,40.329
39 weeks,m,en es,6QWG3G,229.0,1,fam-number-fam8,4,,39.999,False,,39.999
39 weeks,m,en es,6QWG3G,229.0,1,test-number-fam8,5,,40.28,False,,40.28
39 weeks,m,en es,6QWG3G,229.0,1,fam-identity-fam8,6,,39.999,False,,39.999
39 weeks,m,en es,6QWG3G,229.0,1,test-identity-fam8,7,,40.262,False,,40.262
39 weeks,m,en,67BY2B,360.0,1,fam-pose-fam9,0,0.4482962273668361,44.998999999999995,False,,44.998999999999995
39 weeks,m,en,67BY2B,360.0,1,test-pose-fam9,1,,40.229,False,,40.229
39 weeks,m,en,67BY2B,360.0,1,fam-number-fam8,2,,39.999,False,,39.999
39 weeks,m,en,67BY2B,360.0,1,test-number-fam8,3,,40.233000000000004,False,,40.233000000000004
39 weeks,m,en,67BY2B,360.0,1,fam-identity-fam9,4,,44.998999999999995,False,,44.998999999999995
39 weeks,m,en,67BY2B,360.0,1,test-identity-fam9,5,,40.201,False,,40.201
39 weeks,m,en,67BY2B,360.0,1,fam-background-fam8,6,,39.999,False,,39.999
39 weeks,m,en,67BY2B,360.0,1,test-background-fam8,7,,40.146,False,,40.146
39 weeks,m,en,7MNDCD,314.0,1,fam-number-fam8,0,,0.014,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.014
39 weeks,m,en,7MNDCD,314.0,1,test-number-fam8,1,,0.004,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.004
39 weeks,m,en,7MNDCD,314.0,1,fam-animacy-fam8,2,,0.067,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.067
39 weeks,m,en,7MNDCD,314.0,1,fam-background-fam9,4,0.9285836554410164,34.594,False,,18.495999999999995
39 weeks,m,en,7MNDCD,314.0,1,fam-pose-fam9,6,,5.309,False,,5.309
39 weeks,m,en,7MNDCD,314.0,1,fam-background-fam8,8,0.7991864128380479,39.999,False,,39.765
39 weeks,m,en,7MNDCD,314.0,1,test-background-fam8,9,0.8674736694128621,40.189,False,,10.669
