,sample_n,run_id,v_type
0,37,0,background
1,17,0,background
2,9,0,background
3,17,0,background
4,10,0,background
5,6,0,background
0,38,0,identity
1,4,0,identity
2,24,0,identity
3,4,0,identity
4,2,0,identity
5,266,0,identity
0,82,0,number
1,1,0,number
2,5,0,number
3,4,0,number
4,13,0,number
5,22,0,number
0,48,0,pose
1,46,0,pose
2,12,0,pose
3,8,0,pose
4,4,0,pose
5,12,0,pose
0,31,0,animacy
1,12,0,animacy
2,3,0,animacy
3,5,0,animacy
4,8,0,animacy
5,142,0,animacy
0,7,1,background
1,5,1,background
2,4,1,background
3,4,1,background
4,3,1,background
5,9,1,background
0,6,1,identity
1,3,1,identity
2,3,1,identity
3,7,1,identity
4,5,1,identity
5,3,1,identity
0,5,1,number
1,5,1,number
2,3,1,number
3,2,1,number
4,7,1,number
5,4,1,number
0,8,1,pose
1,3,1,pose
2,3,1,pose
3,6,1,pose
4,4,1,pose
5,4,1,pose
0,6,1,animacy
1,2,1,animacy
2,5,1,animacy
3,4,1,animacy
4,6,1,animacy
5,3,1,animacy
0,5,2,background
1,1,2,background
2,1,2,background
3,1,2,background
4,1,2,background
5,1,2,background
0,3,2,identity
1,1,2,identity
2,1,2,identity
3,1,2,identity
4,1,2,identity
5,1,2,identity
0,3,2,number
1,1,2,number
2,1,2,number
3,1,2,number
4,1,2,number
5,1,2,number
0,4,2,pose
1,2,2,pose
2,1,2,pose
3,1,2,pose
4,1,2,pose
5,1,2,pose
0,3,2,animacy
1,1,2,animacy
2,1,2,animacy
3,1,2,animacy
4,1,2,animacy
5,1,2,animacy
0,1,3,background
1,1,3,background
2,1,3,background
3,77,3,background
4,2,3,background
5,11,3,background
0,1,3,identity
1,4,3,identity
2,76,3,identity
3,10,3,identity
4,12,3,identity
5,13,3,identity
0,2,3,number
1,2,3,number
2,67,3,number
3,11,3,number
4,4,3,number
5,23,3,number
0,3,3,pose
1,15,3,pose
2,63,3,pose
3,8,3,pose
4,14,3,pose
5,3,3,pose
0,2,3,animacy
1,3,3,animacy
2,87,3,animacy
3,5,3,animacy
4,4,3,animacy
5,8,3,animacy
0,1,4,background
1,32,4,background
2,1,4,background
3,1,4,background
4,1,4,background
5,2,4,background
0,1,4,identity
1,29,4,identity
2,1,4,identity
3,3,4,identity
4,1,4,identity
5,1,4,identity
0,2,4,number
1,31,4,number
2,4,4,number
3,1,4,number
4,1,4,number
5,2,4,number
0,1,4,pose
1,5,4,pose
2,26,4,pose
3,6,4,pose
4,2,4,pose
5,1,4,pose
0,1,4,animacy
1,5,4,animacy
2,28,4,animacy
3,1,4,animacy
4,1,4,animacy
5,1,4,animacy
0,7,5,background
1,17,5,background
2,39,5,background
3,22,5,background
4,7,5,background
5,34,5,background
0,22,5,identity
1,66,5,identity
2,40,5,identity
3,1,5,identity
4,4,5,identity
5,22,5,identity
0,9,5,number
1,14,5,number
2,102,5,number
3,14,5,number
4,12,5,number
5,29,5,number
0,5,5,pose
1,13,5,pose
2,36,5,pose
3,52,5,pose
4,2,5,pose
5,59,5,pose
0,16,5,animacy
1,5,5,animacy
2,81,5,animacy
3,6,5,animacy
4,23,5,animacy
5,1,5,animacy
0,2,6,background
1,1,6,background
2,1,6,background
3,1,6,background
4,1,6,background
5,1,6,background
0,2,6,identity
1,1,6,identity
2,1,6,identity
3,1,6,identity
4,1,6,identity
5,1,6,identity
0,1,6,number
1,1,6,number
2,1,6,number
3,1,6,number
4,1,6,number
5,1,6,number
0,1,6,pose
1,1,6,pose
2,1,6,pose
3,1,6,pose
4,1,6,pose
5,1,6,pose
0,2,6,animacy
1,1,6,animacy
2,1,6,animacy
3,1,6,animacy
4,1,6,animacy
5,1,6,animacy
0,14,7,background
1,45,7,background
2,1,7,background
3,13,7,background
4,68,7,background
5,1,7,background
0,41,7,identity
1,5,7,identity
2,7,7,identity
3,4,7,identity
4,2,7,identity
5,28,7,identity
0,54,7,number
1,3,7,number
2,4,7,number
3,67,7,number
4,2,7,number
5,4,7,number
0,58,7,pose
1,3,7,pose
2,1,7,pose
3,4,7,pose
4,62,7,pose
5,10,7,pose
0,15,7,animacy
