,sample_n,run_id,v_type
0,74,0,background
1,64,0,background
2,30,0,background
3,21,0,background
4,1,0,background
5,23,0,background
0,39,0,identity
1,54,0,identity
2,12,0,identity
3,13,0,identity
4,1,0,identity
5,4,0,identity
0,26,0,number
1,2,0,number
2,2,0,number
3,1,0,number
4,1,0,number
5,29,0,number
0,4,0,pose
1,41,0,pose
2,38,0,pose
3,2,0,pose
4,1,0,pose
5,3,0,pose
0,3,0,animacy
1,31,0,animacy
2,8,0,animacy
3,33,0,animacy
4,1,0,animacy
5,76,0,animacy
0,17,1,background
1,4,1,background
2,17,1,background
3,2,1,background
4,1,1,background
5,1,1,background
0,6,1,identity
1,1,1,identity
2,10,1,identity
3,4,1,identity
4,15,1,identity
5,1,1,identity
0,10,1,number
1,20,1,number
2,1,1,number
3,2,1,number
4,1,1,number
5,1,1,number
0,17,1,pose
1,1,1,pose
2,9,1,pose
3,6,1,pose
4,2,1,pose
5,1,1,pose
0,32,1,animacy
1,1,1,animacy
2,1,1,animacy
3,2,1,animacy
4,2,1,animacy
5,1,1,animacy
0,3,2,background
1,1,2,background
2,1,2,background
3,1,2,background
4,1,2,background
5,1,2,background
0,16,2,identity
1,5,2,identity
2,1,2,identity
3,2,2,identity
4,1,2,identity
5,1,2,identity
0,22,2,number
1,20,2,number
2,6,2,number
3,3,2,number
4,2,2,number
5,2,2,number
0,21,2,pose
1,1,2,pose
2,2,2,pose
3,2,2,pose
4,1,2,pose
5,1,2,pose
0,11,2,animacy
1,1,2,animacy
2,1,2,animacy
3,1,2,animacy
4,1,2,animacy
5,3,2,animacy
0,313,3,background
1,20,3,background
2,20,3,background
3,1,3,background
4,10,3,background
5,6,3,background
0,128,3,identity
1,23,3,identity
2,13,3,identity
3,9,3,identity
4,9,3,identity
5,6,3,identity
0,83,3,number
1,29,3,number
2,65,3,number
3,27,3,number
4,6,3,number
5,46,3,number
0,57,3,pose
1,23,3,pose
2,37,3,pose
3,12,3,pose
4,39,3,pose
5,1,3,pose
0,37,3,animacy
1,38,3,animacy
2,32,3,animacy
3,19,3,animacy
4,1,3,animacy
5,21,3,animacy
0,3,4,background
1,1,4,background
2,8,4,background
3,2,4,background
4,2,4,background
5,1,4,background
0,2,4,identity
1,2,4,identity
2,7,4,identity
3,3,4,identity
4,2,4,identity
5,2,4,identity
0,1,4,number
1,1,4,number
2,7,4,number
3,3,4,number
4,1,4,number
5,1,4,number
0,1,4,pose
1,3,4,pose
2,1,4,pose
3,5,4,pose
4,2,4,pose
5,1,4,pose
0,1,4,animacy
1,1,4,animacy
2,8,4,animacy
3,2,4,animacy
4,1,4,animacy
5,1,4,animacy
0,5,5,background
1,1,5,background
2,1,5,background
3,30,5,background
4,12,5,background
5,89,5,background
0,3,5,identity
1,1,5,identity
2,41,5,identity
3,39,5,identity
4,5,5,identity
5,22,5,identity
0,4,5,number
1,1,5,number
2,68,5,number
3,46,5,number
4,13,5,number
5,13,5,number
0,4,5,pose
1,9,5,pose
2,52,5,pose
3,28,5,pose
4,23,5,pose
5,52,5,pose
0,4,5,animacy
1,1,5,animacy
2,22,5,animacy
3,57,5,animacy
4,38,5,animacy
5,48,5,animacy
0,16,6,background
1,11,6,background
2,5,6,background
3,7,6,background
4,6,6,background
5,7,6,background
0,35,6,identity
1,11,6,identity
2,30,6,identity
3,20,6,identity
4,5,6,identity
5,43,6,identity
0,57,6,number
1,17,6,number
2,11,6,number
3,5,6,number
4,5,6,number
5,18,6,number
0,35,6,pose
1,12,6,pose
2,6,6,pose
3,4,6,pose
4,4,6,pose
5,3,6,pose
0,32,6,animacy
1,13,6,animacy
2,15,6,animacy
3,7,6,animacy
4,6,6,animacy
5,5,6,animacy
0,13,7,background
1,1,7,background
2,2,7,background
3,3,7,background
4,1,7,background
5,1,7,background
0,13,7,identity
1,14,7,identity
2,3,7,identity
3,2,7,identity
4,9,7,identity
5,5,7,identity
0,10,7,number
1,2,7,number
2,17,7,number
3,32,7,number
4,3,7,number
5,3,7,number
0,13,7,pose
1,27,7,pose
2,8,7,pose
3,11,7,pose
4,5,7,pose
5,24,7,pose
0,12,7,animacy
1,1,7,animacy
2,59,7,animacy
3,21,7,animacy
4,38,7,animacy
5,10,7,animacy
0,15,8,background
1,1,8,background
2,1,8,background
3,1,8,background
4,1,8,background
5,4,8,background
0,12,8,identity
1,4,8,identity
2,2,8,identity
3,1,8,identity
4,1,8,identity
5,1,8,identity
0,13,8,number
1,5,8,number
2,2,8,number
3,1,8,number
4,2,8,number
5,1,8,number
0,17,8,pose
1,3,8,pose
2,3,8,pose
3,2,8,pose
4,2,8,pose
5,2,8,pose
0,11,8,animacy
1,3,8,animacy
2,5,8,animacy
3,1,8,animacy
4,1,8,animacy
5,7,8,animacy
0,43,9,background
1,3,9,background
2,2,9,background
3,1,9,background
4,6,9,background
5,4,9,background
0,91,9,identity
1,21,9,identity
2,4,9,identity
