,sample_n,run_id,v_type
0,3,0,background
1,2,0,background
2,1,0,background
3,1,0,background
4,1,0,background
5,1,0,background
0,4,0,identity
1,1,0,identity
2,1,0,identity
3,1,0,identity
4,1,0,identity
5,1,0,identity
0,4,0,number
1,2,0,number
2,1,0,number
3,1,0,number
4,1,0,number
5,1,0,number
0,3,0,pose
1,2,0,pose
2,1,0,pose
3,1,0,pose
4,1,0,pose
5,1,0,pose
0,4,0,animacy
1,2,0,animacy
2,1,0,animacy
3,1,0,animacy
4,1,0,animacy
5,1,0,animacy
0,8,1,background
1,1,1,background
2,2,1,background
3,2,1,background
4,1,1,background
5,1,1,background
0,6,1,identity
1,2,1,identity
2,4,1,identity
3,1,1,identity
4,1,1,identity
5,3,1,identity
0,8,1,number
1,3,1,number
2,1,1,number
3,1,1,number
4,1,1,number
5,5,1,number
0,5,1,pose
1,5,1,pose
2,2,1,pose
3,1,1,pose
4,1,1,pose
5,1,1,pose
0,8,1,animacy
1,2,1,animacy
2,1,1,animacy
3,1,1,animacy
4,2,1,animacy
5,1,1,animacy
0,3,2,background
1,4,2,background
2,2,2,background
3,2,2,background
4,2,2,background
5,1,2,background
0,3,2,identity
1,3,2,identity
2,2,2,identity
3,2,2,identity
4,1,2,identity
5,1,2,identity
0,3,2,number
1,3,2,number
2,3,2,number
3,2,2,number
4,2,2,number
5,2,2,number
0,3,2,pose
1,3,2,pose
2,2,2,pose
3,3,2,pose
4,2,2,pose
5,2,2,pose
0,3,2,animacy
1,3,2,animacy
2,2,2,animacy
3,2,2,animacy
4,2,2,animacy
5,1,2,animacy
0,15,3,background
1,8,3,background
2,6,3,background
3,6,3,background
4,8,3,background
5,1,3,background
0,11,3,identity
1,4,3,identity
2,11,3,identity
3,3,3,identity
4,2,3,identity
5,7,3,identity
0,12,3,number
1,2,3,number
2,3,3,number
3,12,3,number
4,1,3,number
5,13,3,number
0,8,3,pose
1,16,3,pose
2,2,3,pose
3,8,3,pose
4,1,3,pose
5,33,3,pose
0,1,3,animacy
1,7,3,animacy
2,11,3,animacy
3,5,3,animacy
4,5,3,animacy
5,17,3,animacy
0,11,4,background
1,12,4,background
2,72,4,background
3,21,4,background
4,7,4,background
5,8,4,background
0,9,4,identity
1,6,4,identity
2,3,4,identity
3,90,4,identity
4,6,4,identity
5,5,4,identity
0,11,4,number
1,96,4,number
2,11,4,number
3,3,4,number
4,4,4,number
5,1,4,number
0,12,4,pose
1,3,4,pose
2,82,4,pose
3,9,4,pose
4,7,4,pose
5,3,4,pose
0,10,4,animacy
1,4,4,animacy
2,87,4,animacy
3,6,4,animacy
4,7,4,animacy
5,3,4,animacy
0,1,5,background
