param_info,stimuli_sequence,trial_number,test_type,fam_duration,mean_sample
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,B,1,fam,0,20.9475
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BB,2,fam,1,16.36
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBB,3,fam,2,13.285
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBB,4,fam,3,10.7425
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBB,5,fam,4,10.37
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBB,6,fam,5,8.55
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBB,7,fam,6,7.0475
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBB,8,fam,7,6.53
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBB,9,fam,8,5.5075
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBBB,10,fam,9,6.0725
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBBD,10,nov,9,21.5075
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBD,9,nov,8,20.925
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBD,8,nov,7,22.2775
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBD,7,nov,6,22.83
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBD,6,nov,5,22.21
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBD,5,nov,4,24.2925
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBD,4,nov,3,24.76
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBD,3,nov,2,24.08
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BD,2,nov,1,23.2825
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,B,1,fam,0,21.895
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BB,2,fam,1,18.885
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBB,3,fam,2,14.4975
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBB,4,fam,3,11.9725
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBB,5,fam,4,10.105
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBB,6,fam,5,8.9775
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBB,7,fam,6,7.565
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBB,8,fam,7,6.715
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBB,9,fam,8,6.0225
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBBB,10,fam,9,6.14
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBBD,10,nov,9,24.81
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBD,9,nov,8,22.3
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBD,8,nov,7,25.945
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBD,7,nov,6,28.2425
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBD,6,nov,5,25.875
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBD,5,nov,4,27.4825
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBD,4,nov,3,27.1825
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBD,3,nov,2,24.7425
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BD,2,nov,1,25.77
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,B,1,fam,0,22.815
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BB,2,fam,1,18.9675
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBB,3,fam,2,15.205
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBB,4,fam,3,13.09
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBB,5,fam,4,10.1275
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBB,6,fam,5,9.01
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBB,7,fam,6,7.9675
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBB,8,fam,7,6.8375
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBB,9,fam,8,6.125
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBBB,10,fam,9,5.8225
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBBD,10,nov,9,25.48
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBD,9,nov,8,24.82
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBD,8,nov,7,28.385
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBD,7,nov,6,28.5875
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBD,6,nov,5,29.495
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBD,5,nov,4,30.5825
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBD,4,nov,3,23.8425
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBD,3,nov,2,28.1375
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BD,2,nov,1,25.285
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,B,1,fam,0,41.1525
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BB,2,fam,1,33.33
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBB,3,fam,2,32.5225
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBB,4,fam,3,28.14
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBB,5,fam,4,23.8175
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBB,6,fam,5,22.24
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBB,7,fam,6,18.8675
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBB,8,fam,7,18.5875
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBB,9,fam,8,16.3025
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBBB,10,fam,9,15.9025
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBBD,10,nov,9,40.51
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBD,9,nov,8,49.835
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBD,8,nov,7,52.64
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBD,7,nov,6,41.9475
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBD,6,nov,5,50.9275
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBD,5,nov,4,50.275
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBD,4,nov,3,48.9425
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBD,3,nov,2,47.0125
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BD,2,nov,1,47.2
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,B,1,fam,0,41.0625
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BB,2,fam,1,36.6575
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBB,3,fam,2,33.35
