trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,39,83,0,38.35,32.78201528759008
0,25,55,0,37.0,40.1090618452397
0,32,71,0,52.15,33.19840674680512
0,39,83,0,35.1,24.70648753497327
0,25,55,0,29.6,31.781159595948637
0,32,71,0,40.95,27.95009650675364
0,25,55,0,29.2,32.88992806956337
0,39,83,0,42.25,33.90058996536786
0,32,71,0,41.4,29.42143865672749
0,39,83,0,41.3,26.30209117161599
0,25,55,0,51.25,55.46632453926199
0,32,71,0,40.9,26.544699143738264
0,25,55,0,18.85,19.52670236530372
0,39,83,0,53.35,36.2146742575292
0,25,55,0,42.45,39.92423746099736
0,32,71,0,56.3,45.244482071239766
0,29,83,0,40.75,32.74603230284468
0,25,55,0,34.05,44.13314186103586
0,31,71,0,62.0,42.97367615302726
0,29,83,0,51.25,39.99983552597764
0,25,55,0,50.45,60.1659765718309
0,29,83,0,41.7,36.36814684944997
0,25,55,0,29.6,25.48766471514366
0,31,71,0,52.45,38.38924602706226
0,25,55,0,38.5,29.086983885905862
0,29,83,0,51.35,34.956025005863104
0,31,71,0,47.7,27.77749941380992
0,29,83,0,36.05,23.74973684064731
0,31,71,0,42.7,27.50712826274597
0,46,55,0,60.8,54.635249851316594
0,31,71,0,34.15,28.28478296484562
0,39,83,0,46.95,34.31353116560042
0,29,71,0,39.15,33.89655315499606
0,39,83,0,48.25,47.51163292455748
0,46,55,0,65.1,63.07130467720016
0,29,71,0,43.5,36.98861844860986
0,39,83,0,33.95,25.052523772435006
0,39,83,0,28.75,21.316845327975766
0,29,71,0,47.3,34.46752857858813
0,46,55,0,70.35,44.301924634442116
0,29,71,0,39.85,34.996653975397194
0,39,83,0,56.0,38.0
0,46,55,0,61.75,52.26035530727002
0,29,71,0,55.5,32.342736921586386
0,46,55,0,53.15,46.70881242222645
0,46,83,0,86.2,56.53559661143169
0,36,71,0,79.9,33.77931475419769
0,34,55,0,45.2,47.628607060529454
0,46,83,0,54.5,32.99202455458783
0,34,55,0,46.75,41.144002568642016
0,36,71,0,61.1,27.60034324729352
0,46,83,0,70.15,40.802831429100344
0,34,55,0,54.4,36.60370990688469
0,36,71,0,58.15,29.245377502490168
0,46,83,0,59.7,30.565029897442912
0,34,55,0,48.05,49.21004925183901
0,36,71,0,70.6,29.79296985249337
0,34,55,0,40.5,39.15488811320874
0,46,83,0,73.8,46.73959214289541
0,41,55,0,51.45,48.28149367593082
0,36,71,0,68.4,36.31064799607323
0,25,83,0,35.9,25.216744645697542
0,40,71,0,8.25,7.580272179532174
0,40,71,0,9.1,12.744038854138411
0,40,71,0,10.7,15.828355634912402
0,40,71,0,11.05,10.58536725862641
0,41,55,0,49.35,36.662435960071114
0,40,71,0,6.75,6.315186374713609
0,25,83,0,42.95,26.7000394243746
0,29,71,0,31.15,18.195647252773625
0,25,83,0,46.75,35.25228622671906
0,41,55,0,55.85,42.76653266035807
0,29,71,0,38.1,29.339931474824006
0,25,83,0,48.6,47.46788387952427
0,29,71,0,41.9,32.98468544164413
0,41,55,0,60.3,57.497917582428926
0,25,83,0,34.85,24.415859815421534
0,29,71,0,45.55,27.352427006719072
0,41,55,0,47.4,35.34849062511275
0,31,83,0,50.3,32.948284836759115
0,29,71,0,42.75,23.169569425615595
0,31,83,0,35.9,20.67263637606104
0,32,55,0,42.2,34.541508210755424
0,29,71,0,33.65,34.145624671552376
0,31,83,0,48.55,29.514447844724238
0,29,71,0,45.85,26.49384238291091
0,32,55,0,46.55,47.58203442477003
0,32,55,0,35.35,19.31804446897416
0,31,83,0,44.5,35.22035894494158
0,29,71,0,59.4,36.12172403649113
0,31,83,0,41.45,35.79984563330436
0,32,55,0,51.2,51.1937496184837
0,32,55,0,29.55,31.90359656346304
0,29,71,0,64.9,41.764880739179596
0,28,83,0,55.35,23.61817988441598
0,25,55,0,27.8,26.652935061047614
0,29,71,0,43.0,28.018790687303895
0,40,71,0,4.95,4.006245124802026
0,40,71,0,8.15,8.209590027586799
0,40,71,0,5.05,4.925497570376974
0,40,71,0,10.85,11.654116056253756
0,25,55,0,51.8,49.297806079079486
0,28,83,0,67.15,34.00042569392949
0,40,71,0,11.65,11.136828425023932
0,31,71,0,43.55,31.890396178490047
0,25,55,0,52.0,63.90453406202263
0,28,83,0,76.7,43.312937170270374
0,25,55,0,34.2,25.07798363421379
0,31,71,0,51.95,35.58899149722388
0,25,55,0,32.55,29.231336825940392
0,28,83,0,55.65,33.80326206619399
