trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,19,28,0,34.1,17.189041796875614
0,19,28,1,14.2,10.185645213782612
0,152,66,0,40.1,32.68654962390172
0,152,66,1,12.5,19.720414215784245
0,70,71,1,59.9,42.65146384851348
0,153,74,0,43.15,22.91465860420723
0,153,74,1,13.75,13.93547158947456
0,113,155,0,53.35,27.465337005798876
0,113,155,1,15.25,10.562470803447658
0,97,72,0,54.1,45.14992568624764
0,97,72,1,15.8,21.46870427291537
0,153,74,0,52.2,21.922351007230283
0,153,74,1,20.5,19.779042603619356
0,97,72,0,66.45,50.767244931104315
0,97,72,1,17.75,24.759633956991586
0,113,155,0,71.3,53.90449644363729
0,113,155,1,20.9,15.630267533151658
0,175,74,0,40.1,28.6428093300184
0,175,74,1,13.05,11.860926563610803
0,143,72,0,28.7,24.908464002169392
0,143,72,1,19.25,24.81271957346834
0,175,74,0,51.35,36.758493468928556
0,175,74,1,14.0,9.464615542557501
0,143,72,0,36.45,28.135901396053068
0,143,72,1,16.1,28.966223524359503
0,337,74,0,47.65,31.05051063229582
0,337,74,1,17.7,12.549271314555112
0,70,155,0,78.45,65.57476648833757
0,70,155,1,35.5,36.98719550843167
0,118,72,0,48.8,30.184694622833014
0,118,72,1,15.15,15.149344262341765
0,337,74,0,38.95,19.821506130038603
0,337,74,1,23.75,25.397627323909816
0,70,155,0,61.2,39.2704522644269
0,70,155,1,19.35,23.930326498311498
0,118,72,0,40.4,42.08187508329822
0,118,72,1,24.35,33.29971550376338
0,53,74,0,48.9,24.595463852207853
0,53,74,1,18.65,12.270096297824836
0,241,72,0,49.65,36.80857308605672
0,241,72,1,24.3,33.84966764977169
0,53,74,0,44.6,20.458944768795668
0,53,74,1,16.95,14.076763234419152
0,100,155,0,89.65,75.20027645525892
0,100,155,1,23.85,28.751704754949564
0,241,72,0,48.0,38.759718645440195
0,241,72,1,15.8,24.4381065680543
0,19,74,0,48.45,23.426199907481006
0,19,74,1,13.4,12.991495193718892
0,19,74,0,35.9,19.067470232116047
0,19,74,1,9.4,7.401280116873098
0,18,72,0,36.1,24.128820940941146
0,18,72,1,14.8,23.507221734696987
0,18,72,0,37.0,24.298581288453427
0,18,72,1,18.0,18.82886921165139
0,175,74,0,42.5,27.633884615583245
0,175,74,1,18.35,15.728870538632219
0,100,155,0,75.05,39.34526655139091
0,100,155,1,32.2,39.7910331078432
0,175,74,0,34.1,17.970443570075368
0,175,74,1,12.25,10.161200716450788
0,16,72,0,38.15,30.501553023446284
0,16,72,1,16.05,21.950842208995315
0,16,72,0,25.4,28.414970109359427
0,16,72,1,6.9,7.447359122181289
0,48,155,0,70.45,36.092680406799495
0,48,155,1,17.35,17.52073959025342
0,132,74,0,46.15,21.75527764160131
0,132,74,1,14.7,13.286716754159515
0,169,72,0,41.5,29.86548791533553
0,169,72,1,12.75,17.492479587104373
0,132,74,0,45.9,31.585972902706775
0,132,74,1,17.1,16.415333011996342
0,48,155,0,68.2,48.285990122449206
0,48,155,1,22.5,28.36695631410455
0,169,72,0,47.25,46.95336432091562
0,169,72,1,10.6,7.465006081007146
0,316,74,0,46.85,19.429426949319616
0,316,74,1,13.6,12.253463527552228
0,116,72,0,27.55,22.439333417250307
0,116,72,1,14.6,27.219188278240697
0,316,74,0,45.5,32.59560835773013
0,316,74,1,13.25,9.486139473213704
0,116,72,0,39.05,36.92307080802918
0,116,72,1,17.65,24.46323772520719
0,150,155,0,77.55,56.228364260117154
0,150,155,1,27.05,37.70030713263138
0,99,74,0,46.25,21.297084060351647
0,99,74,1,11.3,9.61960717000768
0,316,72,0,37.85,29.337016315838756
0,316,72,1,25.9,29.66639069455712
0,99,74,0,36.65,19.47812538261967
0,99,74,1,12.75,10.7990009284485
0,316,72,0,42.8,49.33942589216479
0,316,72,1,8.45,13.260447718090461
0,150,155,0,71.2,61.54553299451511
0,150,155,1,29.25,33.510210541360614
0,111,74,0,43.15,19.751815372930047
0,111,74,1,18.35,19.515917929515354
0,75,72,0,31.35,38.160705885559956
0,75,72,1,26.85,39.86328610322246
0,111,74,0,39.15,24.6689128896653
0,111,74,1,14.55,12.671871045330034
0,75,72,0,22.55,24.303941633968932
0,75,72,1,15.35,29.57288053534682
0,8,155,0,70.25,49.096977074915074
0,8,155,1,17.0,12.251745310685116
0,94,74,0,48.45,35.1170598817276
0,94,74,1,14.2,13.0044526787437
0,23,72,0,44.55,39.839777794772424
0,23,72,1,24.15,31.028467404525223
0,94,74,0,45.0,35.18372829650242
0,94,74,1,16.05,13.697771620538177
0,8,155,0,59.95,46.63348130846944
0,8,155,1,25.55,36.1262042232359
0,23,72,0,48.0,38.41600543633096
0,23,72,1,15.65,20.36321502896312
0,134,74,0,44.35,31.561593916124007
0,134,74,1,16.3,19.434369988299217
0,111,72,0,39.45,34.70852314558152
0,111,72,1,15.45,24.924042503912602
0,134,74,0,46.45,31.56526238563025
0,134,74,1,19.0,22.966795253376695
0,160,155,0,89.15,55.98239854961933
0,160,155,1,28.4,32.02531893098926
0,111,72,0,39.7,29.30079934242858
0,111,72,1,18.95,24.169304151296842
0,111,74,0,36.65,17.77424215572991
0,111,74,1,9.4,7.155417527999327
0,166,72,0,42.8,35.96869984335065
0,166,72,1,15.95,25.670944050054967
0,160,155,0,62.05,50.04153537970128
0,160,155,1,18.15,16.655250476082692
0,111,74,0,48.4,22.85515028908894
0,111,74,1,21.3,19.123146625022393
0,166,72,0,37.85,40.828621282006004
0,166,72,1,16.7,17.363300680640066
0,197,74,0,34.85,23.488575050324716
0,197,74,1,17.65,16.8062488378579
0,113,155,0,61.8,40.30880797046719
0,113,155,1,16.9,13.795117366586437
0,108,72,0,41.5,46.68201501987451
0,108,72,1,16.25,24.319961478501348
0,197,74,0,43.4,19.78675793235679
0,197,74,1,15.45,8.999853799982121
0,108,72,0,42.4,29.553519694205452
0,108,72,1,19.05,20.32233668703116
0,71,74,0,37.7,23.43658857876987
0,71,74,1,13.3,11.369858583576418
0,113,155,0,72.9,49.2532659884227
0,113,155,1,17.75,15.505092542027672
0,57,72,0,25.6,30.596525430529734
0,57,72,1,24.0,31.00424419163829
0,71,74,0,45.15,22.532491160427355
0,71,74,1,14.35,11.132101518155785
0,57,72,0,41.8,33.19416562558769
0,57,72,1,16.5,23.752008225344692
0,183,74,0,47.65,29.599564363792858
0,183,74,1,14.5,13.394814393323221
0,99,155,0,80.9,61.479906858813806
0,99,155,1,18.95,14.291974192384671
0,150,72,0,43.85,48.68942930776443
0,150,72,1,17.4,43.74014174645528
0,183,74,0,43.45,22.17982725005101
0,183,74,1,19.7,19.647150590245637
0,150,72,0,40.3,26.344079530622995
