trial_id,stim_id,param_id,sample_n_mean,sample_n_std
0,24,10,39.35,23.749293618304122
0,24,100,44.55,28.872633190764248
0,24,101,52.3,41.73739961132928
0,24,0,45.7,51.621191079062214
0,24,1,53.7,46.06757050932445
0,24,100,36.3,22.473610255024372
0,24,10,42.05,26.55376868881228
0,24,0,50.65,41.41735588398965
0,24,10,34.2,19.69931871651243
0,24,100,36.8,22.83718113308346
0,24,0,22.85,26.64241770284055
0,24,1,66.4,68.63818179410057
0,24,100,40.95,27.01164466241219
0,24,101,79.1,54.54973587663396
0,24,10,43.5,23.685438564654028
0,24,102,45.6,40.601270397547125
0,24,104,49.55,29.861919069716798
0,24,100,33.85,22.829516904771836
0,24,10,34.55,23.743087636748424
0,24,0,57.9,55.70967977876584
0,24,1,52.1,46.67344562292128
0,24,102,40.25,40.51364292627725
0,24,104,49.35,20.463767724289784
0,24,101,63.15,45.701865676532165
0,24,102,16.55,19.829470359463514
0,24,100,45.0,32.44590639981049
0,24,10,45.45,18.24821548593321
0,24,0,38.65,28.27547756588644
0,24,1,43.65,28.20092383705112
0,24,104,40.25,20.74119978258376
0,24,103,94.65,77.52641315604704
0,24,10,34.75,19.485149540908814
0,24,100,36.5,29.477020487866568
0,24,0,35.75,37.612812766536436
0,24,101,57.8,40.0336700396317
0,24,102,48.0,51.58947261031583
0,24,10,37.55,21.291152103508562
0,24,104,48.05,32.56649068888869
0,24,100,39.3,27.187651995945355
0,24,102,26.8,28.949320508342453
0,24,0,34.2,35.342832222017584
0,24,10,30.8,18.138647312183718
0,24,1,66.5,68.19669694115845
0,24,104,37.0,28.545439307587436
0,24,103,69.05,64.74279069802614
0,24,100,48.45,31.451675547366982
0,24,102,38.2,38.239687292269096
0,24,0,41.0,30.350583103736938
0,24,10,37.65,20.100471322046683
0,24,104,34.15,17.085774322825593
0,24,100,39.45,18.6899212918283
0,24,102,37.0,36.604572622038695
0,24,0,40.9,39.80729898688906
0,24,104,30.0,19.745752374678087
0,24,1,56.65,57.57217438275104
0,24,10,41.2,19.457375817006017
0,24,101,95.55,71.90598759930621
0,24,103,59.8,43.21500713994229
0,24,100,35.65,25.715600425872967
0,24,102,31.85,33.02674354933716
0,24,10,36.7,20.1888452786238
0,24,104,39.9,23.44512069089273
0,24,100,32.2,27.967274108368724
0,24,0,58.3,55.7391481059672
0,24,102,43.55,34.50777944326849
0,24,10,34.05,22.94495701960627
0,24,104,36.6,24.856218114334457
0,24,101,73.6,51.399774728156764
0,24,100,39.55,21.895625614552138
0,24,102,28.4,32.48708245311957
0,24,1,80.8,69.47820559449977
0,24,10,42.05,19.321313565457626
0,24,104,44.65,26.628585748164852
0,24,103,85.6,71.95715099242999
0,24,0,49.45,50.6021374626554
0,24,102,27.1,23.58612437764829
0,24,100,43.85,33.795476184340345
0,24,10,36.25,26.34363001002829
0,24,101,55.55,45.72166939900137
0,24,102,29.0,36.407055418016526
0,24,100,31.65,28.195324360423196
0,24,104,49.2,29.319653907629228
0,24,1,60.55,54.5637965572122
0,24,0,47.15,51.46309357199585
0,24,10,38.65,30.694204836195315
0,24,102,33.8,21.965523224506075
0,24,104,24.95,14.394717598370665
0,24,100,37.75,23.657367829739194
0,24,101,62.3,46.0035467740203
0,24,103,64.85,85.66721107069834
0,24,0,43.95,36.51311948788876
0,24,102,34.45,29.06883844292806
0,24,10,43.95,22.497894638341045
0,24,104,38.4,20.173980115094057
0,24,100,42.25,18.358634853501783
0,24,1,78.5,49.792728279073884
0,24,10,36.9,23.752894560453047
0,24,102,35.3,40.668234079658475
0,24,104,37.0,22.12880951443877
0,24,0,44.65,44.02783210652098
0,24,100,33.55,27.546085785556958
0,24,101,65.9,52.24325693079292
0,24,102,37.8,31.981244503614928
0,24,104,40.15,24.385662310377985
0,24,10,44.8,29.761508167783642
0,24,0,43.3,31.833613482738983
0,24,100,40.35,30.627258241122743
0,24,103,81.25,92.38356825870348
0,24,104,37.95,28.32606201846074
0,24,102,39.1,36.35338252560044
0,24,0,33.05,35.92752207020773
0,24,10,42.1,14.410887696825839
0,24,100,48.35,35.52504676096037
0,24,1,71.6,84.81956080254626
0,24,101,69.5,48.87955120820761
0,24,104,32.9,24.030463122768502
0,24,0,33.3,29.524476910558555
0,25,10,39.85,18.728742335610374
0,24,102,35.85,53.38960572995458
