param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,1,2088,191.41113095280426,2.5399904214559386,2.9505044641018854,2.1294763788099917
0,background,2,1888,138.867922861977,2.210540254237288,2.523744052553434,1.8973364559211423
0,background,3,1690,115.64785478247954,2.076508875739645,2.352198425795438,1.8008193256838516
0,background,4,1491,103.07055580370279,1.994131455399061,2.255721897553846,1.7325410132442762
0,background,5,1292,88.46761227168184,1.9251160990712075,2.1663171105811045,1.6839150875613105
0,background,6,1093,78.2333890221735,1.8668801463860933,2.098784092508801,1.6349762002633859
0,background,7,894,68.51832255912129,1.8243288590604028,2.048905219109706,1.5997524990110996
0,background,8,696,59.811700140392354,1.7842672413793104,2.006448592391152,1.562085890367469
0,background,9,497,47.0035552966615,1.7332997987927565,1.9399227641540095,1.5266768334315035
0,background,10,297,34.794849891145795,1.6742424242424243,1.872104617249538,1.4763802312353107
0,background,11,99,19.73575435599055,1.6484848484848484,1.8428696070011332,1.4541000899685637
0,deviant,1,99,41.95702688779507,2.4914141414141415,2.904664448067341,2.078163834760942
0,deviant,2,100,34.98981054686154,2.1915,2.5344001433592434,1.8485998566407569
0,deviant,3,99,32.16945265637148,2.0555555555555554,2.372404416430829,1.7387066946802818
0,deviant,4,100,30.035505305344348,2.135,2.429347951992374,1.8406520480076252
0,deviant,5,99,26.57858259259848,1.990909090909091,2.2526914006082976,1.7291267812098843
0,deviant,6,99,27.49669836639722,2.0161616161616163,2.286986788361069,1.7453364439621633
0,deviant,7,99,28.0353160739882,2,2.276130217607605,1.723869782392395
0,deviant,8,100,25.0637607964798,1.9264999999999999,2.1721248558055017,1.6808751441944978
0,deviant,9,100,26.191651944444956,1.9585,2.2151781890555604,1.7018218109444394
0,deviant,10,100,26.071813778182186,1.9235,2.1790037750261853,1.6679962249738145
0,deviant,11,98,27.185861263376943,1.8372448979591838,2.106371193883411,1.5681186020349567
1,background,1,2083,298.9116090084157,3.4122659625540086,4.054102184845801,2.770429740262216
1,background,2,1884,233.49471424198742,2.9865445859872612,3.5137291433063234,2.459360028668199
1,background,3,1684,195.76003032714368,2.782066508313539,3.249563753154877,2.3145692634722015
1,background,4,1485,170.69612119047605,2.633973063973064,3.06806978102929,2.1998763469168376
1,background,5,1285,150.92881731046873,2.547898832684825,2.9605154180923297,2.1352822472773205
1,background,6,1086,139.70099649269733,2.466666666666667,2.8821089217705174,2.051224411562816
1,background,7,889,111.53341486558612,2.3884701912260966,2.7550598372703097,2.0218805451818835
1,background,8,689,95.20887317978163,2.3001642349705906,2.655626815959314,1.9447016539818671
1,background,9,493,79.27074783290684,2.2419878296146045,2.5918649724707445,1.8921106867584645
1,background,10,296,64.341329836631445,2.2108908250355617,2.577387680725699,1.8443939693454248
1,background,11,99,35.45304942385482,2.2035619351408826,2.5527521574457164,1.854371712836049
1,deviant,1,100,67.16856250861473,3.442,4.100251912584424,2.7837480874155758
1,deviant,2,99,55.2791242599534,2.9803030303030305,3.524767611004558,2.435838449601503
1,deviant,3,100,47.51639606216829,2.8835,3.3491606814092494,2.417839318590751
