param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,NA,1,NA,NA,NA,NA
1,background,NA,1,NA,NA,NA,NA
2,background,NA,1,NA,NA,NA,NA
3,background,NA,1,NA,NA,NA,NA
4,background,NA,1,NA,NA,NA,NA
5,background,NA,1,NA,NA,NA,NA
6,background,NA,1,NA,NA,NA,NA
7,background,NA,1,NA,NA,NA,NA
8,background,NA,1,NA,NA,NA,NA
9,background,NA,1,NA,NA,NA,NA
10,background,NA,1,NA,NA,NA,NA
11,background,NA,1,NA,NA,NA,NA
12,background,NA,1,NA,NA,NA,NA
13,background,NA,1,NA,NA,NA,NA
14,background,NA,1,NA,NA,NA,NA
15,background,NA,1,NA,NA,NA,NA
16,background,NA,1,NA,NA,NA,NA
17,background,NA,1,NA,NA,NA,NA
18,background,1,8395,4655.352641682588,29.211524717093507,34.190824907951146,24.23222452623587
18,background,2,7596,3647.475905448966,23.85784043137871,27.95918284602122,19.756498016736195
18,background,3,6797,3580.0940875390543,22.929378599236323,27.184989190756696,18.67376800771595
18,background,4,5997,3122.431868863653,21.931552754648166,25.882962095569386,17.980143413726946
18,background,5,5197,2667.270158537148,21.060263744020506,24.686171266581628,17.434356221459385
18,background,6,4397,2251.3976456808114,20.134212501737785,23.461574486613795,16.806850516861775
18,background,7,3598,1952.1850261151014,19.550184814863893,22.739639773646818,16.36072985608097
18,background,8,2798,1571.1267665648536,18.843768202733987,21.754575454198257,15.932960951269717
18,background,9,1999,1293.0108719212546,18.455259102535198,21.289402728187703,15.621115476882693
18,background,10,1199,919.9736959533125,17.8198283853143,20.423534087730147,15.216122682898453
18,background,11,399,536.0933834338009,17.52286278623484,20.15301010658602,14.892715465883658
18,deviant,1,400,992.7999427456618,29.0355,33.900219719453744,24.170780280546253
18,deviant,2,399,904.1847012844265,27.4561521192041,31.89220569247009,23.020098545938108
18,deviant,3,400,776.5963544123927,26.091331140350878,29.896653276971602,22.286009003730154
18,deviant,4,400,856.5476373088424,28.67948955108359,32.87657297389692,24.482406128270263
18,deviant,5,400,667.2610810111722,25.89110102769178,29.16068032464652,22.621521730737037
18,deviant,6,400,923.0654644730168,28.52403936618507,33.04706014210286,24.00101859026729
18,deviant,7,400,686.0527444499837,27.847702130632953,31.209360578437874,24.486043682828033
18,deviant,8,400,887.8502873820775,28.572915537925695,32.92338194609788,24.222449129753514
18,deviant,9,400,843.1246503360871,27.787975457946338,31.919286244593167,23.65666467129951
18,deviant,10,400,744.1747519128876,28.76055770246695,32.4070139868401,25.114101418093803
18,deviant,11,400,660.2417775938744,26.64299732409833,29.878182034308317,23.407812613888346
19,background,NA,1,NA,NA,NA,NA
20,background,NA,1,NA,NA,NA,NA
21,background,NA,1,NA,NA,NA,NA
22,background,1,8392,4621.605666523498,26.446711153479505,31.390799528550666,21.502622778408345
22,background,2,7593,4351.595646951817,24.572379477621627,29.46642392647719,19.678335028766064
22,background,3,6794,3841.368657239152,23.204624245917426,27.77181649490663,18.63743199692822
22,background,4,5996,3219.285947169016,21.88643331378699,25.960750326839058,17.812116300734925
22,background,5,5196,2773.768993960714,20.915764681850213,24.686810365889198,17.14471899781123
22,background,6,4397,2309.4596581387514,20.113913943799453,23.527086328890004,16.700741558708902
22,background,7,3599,1959.02913764834,19.56494201915561,22.76513411264233,16.36474992566889
22,background,8,2799,1606.3652735593691,18.977143126614727,21.95270464433404,16.001581608895414
22,background,9,2000,1287.8118370915863,18.574175587488707,21.396217701255065,15.752133473722349
22,background,10,1200,969.0194424883142,17.975804844486152,20.717176660742137,15.234433028230168
22,background,11,400,551.2051798724257,17.589311242732585,20.290216624107472,14.888405861357699
22,deviant,1,400,1052.5214024577263,27.478125,32.63547987204286,22.32077012795714
22,deviant,2,400,744.2618514745811,24.556004127966975,28.20288720019242,20.90912105574153
22,deviant,3,399,802.7072398077006,25.788527648671042,29.726718943411058,21.850336353931027
22,deviant,4,400,731.823865200256,24.931040075679395,28.51697701516065,21.34510313619814
22,deviant,5,400,723.8957559007213,26.52288609391125,30.069975297824783,22.975796889997717
22,deviant,6,399,696.2959904005264,26.597402723785727,30.013525902909723,23.18127954466173
22,deviant,7,399,707.467767604901,27.497377171859817,30.968310614989385,24.02644372873025
22,deviant,8,400,732.6126902735343,26.103363691090472,29.69316587343079,22.513561508750154
22,deviant,9,399,673.0213816098707,26.25702835304636,29.55896312426488,22.955093581827835
22,deviant,10,400,674.7748298648094,26.45570773913479,29.762104405472357,23.149311072797225
22,deviant,11,400,643.8751669263436,27.215347503019427,30.37033582095851,24.060359185080344
23,background,NA,1,NA,NA,NA,NA
24,background,NA,1,NA,NA,NA,NA
25,background,NA,1,NA,NA,NA,NA
26,background,NA,1,NA,NA,NA,NA
27,background,NA,1,NA,NA,NA,NA
28,background,NA,1,NA,NA,NA,NA
29,background,NA,1,NA,NA,NA,NA
30,background,NA,1,NA,NA,NA,NA
31,background,NA,1,NA,NA,NA,NA
32,background,NA,1,NA,NA,NA,NA
33,background,NA,1,NA,NA,NA,NA
34,background,NA,1,NA,NA,NA,NA
35,background,NA,1,NA,NA,NA,NA
36,background,NA,1,NA,NA,NA,NA
37,background,NA,1,NA,NA,NA,NA
38,background,NA,1,NA,NA,NA,NA
39,background,NA,1,NA,NA,NA,NA
40,background,1,8189,6408.763082891392,38.715313225058004,45.65571891490142,31.774907535214588
40,background,2,7390,5194.570847658973,31.490334603656052,37.4121318048697,25.5685374024424
40,background,3,6590,4100.48056336406,27.143555273545672,32.093702616250226,22.19340793084112
40,background,4,5790,3312.2313685457298,24.420599874164736,28.68646833439703,20.154731413932442
40,background,5,4991,2809.5458965547105,22.87061759498711,26.767958734655153,18.973276455319066
40,background,6,4192,2260.8199615105673,21.43622813028469,24.858239260394154,18.014217000175226
40,background,7,3392,1786.0679220911272,20.154999955051743,23.160357343658223,17.149642566445262
40,background,8,2592,1509.223703082564,19.47496143136565,22.380068843814566,16.569854018916732
40,background,9,1792,1238.6566440168012,18.93620018638887,21.8037304462719,16.06866992650584
40,background,10,992,859.2531977544871,18.25396293602848,20.927531934411903,15.580393937645058
40,background,11,400,452.91793359811373,17.188329800982473,19.40762767561323,14.969031926351715
40,deviant,1,399,1326.0997590877662,37.52619047619048,44.0322169179694,31.020164034411557
40,deviant,2,400,1092.9607913685047,32.283323099415206,37.638830977120875,26.927815221709533
