param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,NA,1,NA,NA,NA,NA
1,background,NA,1,NA,NA,NA,NA
2,background,NA,1,NA,NA,NA,NA
3,background,NA,1,NA,NA,NA,NA
4,background,NA,1,NA,NA,NA,NA
5,background,NA,1,NA,NA,NA,NA
6,background,NA,1,NA,NA,NA,NA
7,background,NA,1,NA,NA,NA,NA
8,background,NA,1,NA,NA,NA,NA
9,background,NA,1,NA,NA,NA,NA
10,background,NA,1,NA,NA,NA,NA
11,background,NA,1,NA,NA,NA,NA
12,background,NA,1,NA,NA,NA,NA
13,background,NA,1,NA,NA,NA,NA
14,background,NA,1,NA,NA,NA,NA
15,background,NA,1,NA,NA,NA,NA
16,background,NA,1,NA,NA,NA,NA
17,background,NA,1,NA,NA,NA,NA
18,background,NA,1,NA,NA,NA,NA
19,background,NA,1,NA,NA,NA,NA
20,background,NA,1,NA,NA,NA,NA
21,background,NA,1,NA,NA,NA,NA
22,background,NA,1,NA,NA,NA,NA
23,background,NA,1,NA,NA,NA,NA
24,background,NA,1,NA,NA,NA,NA
25,background,NA,1,NA,NA,NA,NA
26,background,NA,1,NA,NA,NA,NA
27,background,NA,1,NA,NA,NA,NA
28,background,NA,1,NA,NA,NA,NA
29,background,NA,1,NA,NA,NA,NA
30,background,NA,1,NA,NA,NA,NA
31,background,NA,1,NA,NA,NA,NA
32,background,NA,1,NA,NA,NA,NA
33,background,NA,1,NA,NA,NA,NA
34,background,NA,1,NA,NA,NA,NA
35,background,NA,1,NA,NA,NA,NA
36,background,NA,1,NA,NA,NA,NA
37,background,NA,1,NA,NA,NA,NA
38,background,NA,1,NA,NA,NA,NA
39,background,NA,1,NA,NA,NA,NA
40,background,NA,1,NA,NA,NA,NA
41,background,NA,1,NA,NA,NA,NA
42,background,NA,1,NA,NA,NA,NA
43,background,NA,1,NA,NA,NA,NA
44,background,NA,1,NA,NA,NA,NA
45,background,NA,1,NA,NA,NA,NA
46,background,NA,1,NA,NA,NA,NA
47,background,NA,1,NA,NA,NA,NA
48,background,NA,1,NA,NA,NA,NA
49,background,NA,1,NA,NA,NA,NA
50,background,NA,1,NA,NA,NA,NA
51,background,NA,1,NA,NA,NA,NA
52,background,NA,1,NA,NA,NA,NA
53,background,NA,1,NA,NA,NA,NA
54,background,NA,1,NA,NA,NA,NA
55,background,NA,1,NA,NA,NA,NA
56,background,NA,1,NA,NA,NA,NA
57,background,NA,1,NA,NA,NA,NA
58,background,NA,1,NA,NA,NA,NA
59,background,NA,1,NA,NA,NA,NA
60,background,NA,1,NA,NA,NA,NA
61,background,NA,1,NA,NA,NA,NA
62,background,NA,1,NA,NA,NA,NA
63,background,NA,1,NA,NA,NA,NA
64,background,NA,1,NA,NA,NA,NA
65,background,NA,1,NA,NA,NA,NA
66,background,NA,1,NA,NA,NA,NA
67,background,NA,1,NA,NA,NA,NA
68,background,NA,1,NA,NA,NA,NA
69,background,NA,1,NA,NA,NA,NA
70,background,NA,1,NA,NA,NA,NA
71,background,NA,1,NA,NA,NA,NA
72,background,NA,1,NA,NA,NA,NA
73,background,NA,1,NA,NA,NA,NA
74,background,NA,1,NA,NA,NA,NA
75,background,NA,1,NA,NA,NA,NA
76,background,NA,1,NA,NA,NA,NA
77,background,NA,1,NA,NA,NA,NA
78,background,NA,1,NA,NA,NA,NA
79,background,NA,1,NA,NA,NA,NA
80,background,NA,1,NA,NA,NA,NA
81,background,NA,1,NA,NA,NA,NA
82,background,NA,1,NA,NA,NA,NA
83,background,NA,1,NA,NA,NA,NA
84,background,NA,1,NA,NA,NA,NA
85,background,NA,1,NA,NA,NA,NA
86,background,NA,1,NA,NA,NA,NA
87,background,NA,1,NA,NA,NA,NA
88,background,NA,1,NA,NA,NA,NA
89,background,NA,1,NA,NA,NA,NA
90,background,1,4199,4179.793667471108,40.89027149321267,47.211594493867494,34.56894849255785
90,background,2,3799,3163.4013194630766,30.930725310817678,35.96046744751155,25.900983174123805
90,background,3,3399,2611.1690884357017,26.872110681190456,31.261311880922047,22.482909481458865
90,background,4,2999,2253.9754265460538,24.55815377653609,28.59169982850213,20.524607724570053
90,background,5,2599,1917.719829774741,22.865218588903737,26.55166644203699,19.178770735770485
90,background,6,2199,1662.3714134658921,21.727651700205225,25.20174536345093,18.25355803695952
90,background,7,1799,1365.672927243773,20.52513177569478,23.68055192300269,17.369711628386874
90,background,8,1399,1136.4992013785086,19.51607677295287,22.493813882797067,16.538339663108676
90,background,9,999,951.6910524241102,19.373229192536037,22.324026087391257,16.422432297680817
90,background,10,599,654.1835665390794,18.24854461101386,20.868007769627418,15.6290814524003
90,background,11,200,379.9060008790795,17.357122858286363,19.989737130749948,14.724508585822779
90,deviant,1,200,838.1104766393458,39.28975,45.09755929386867,33.481940706131326
90,deviant,2,200,717.8895449830771,33.75282933436532,38.72755007528982,28.778108593440827
90,deviant,3,200,661.83190793056,32.18243421052632,36.76869534553895,27.596173075513686
90,deviant,4,200,634.7535376814147,33.453943777949775,37.85256138054123,29.05532617535832
90,deviant,5,200,566.892468253403,30.676560715514277,34.604925098868776,26.748196332159782
90,deviant,6,200,516.8006249823158,30.6187414000688,34.19998701924393,27.037495780893675
90,deviant,7,200,597.2859789842623,29.777075249398006,33.9160559166627,25.638094582133313
90,deviant,8,200,638.2880455343554,31.92970405486756,36.352814547274534,27.506593562460587
90,deviant,9,200,517.9649625730905,27.72962500378019,31.31893907081438,24.140310936745998
90,deviant,10,200,583.6054320172703,29.542315461778504,33.58649477524233,25.498136148314682
90,deviant,11,199,663.0279019817066,31.675437065182035,36.281515642669255,27.069358487694814
91,background,NA,1,NA,NA,NA,NA
92,background,NA,1,NA,NA,NA,NA
93,background,NA,1,NA,NA,NA,NA
94,background,NA,1,NA,NA,NA,NA
95,background,NA,1,NA,NA,NA,NA
96,background,NA,1,NA,NA,NA,NA
97,background,NA,1,NA,NA,NA,NA
98,background,NA,1,NA,NA,NA,NA
99,background,NA,1,NA,NA,NA,NA
100,background,NA,1,NA,NA,NA,NA
101,background,NA,1,NA,NA,NA,NA
102,background,NA,1,NA,NA,NA,NA
103,background,NA,1,NA,NA,NA,NA
104,background,NA,1,NA,NA,NA,NA
105,background,NA,1,NA,NA,NA,NA
106,background,NA,1,NA,NA,NA,NA
107,background,NA,1,NA,NA,NA,NA
108,background,NA,1,NA,NA,NA,NA
109,background,NA,1,NA,NA,NA,NA
