trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,39,193,0,20.55,24.658669874914178
0,35,248,0,41.8,24.086685555564337
0,35,248,0,33.4,18.849542783789072
0,31,46,0,59.3,39.604757821570665
0,39,193,0,54.15,55.020833374851364
1,4,248,0,38.0,23.476752218670327
1,17,193,0,27.9,33.84935667584277
1,4,248,0,44.85,28.185989427373308
2,38,248,1,35.3,16.777491186894295
1,17,193,0,37.4,44.41123613160122
0,31,46,0,62.15,60.625055615818226
2,38,248,1,32.7,18.932289321351725
2,36,193,1,33.5,35.23978015344531
3,15,248,1,32.6,22.60507628131811
3,15,248,1,34.8,28.317002517550254
4,25,248,2,26.95,18.972209593036478
2,36,193,1,52.7,46.25000711237499
1,8,46,0,81.8,59.70859058354739
4,25,248,2,34.15,28.40176977436071
3,11,193,1,22.15,25.12762162284868
5,20,248,2,34.5,28.548204847240395
1,8,46,0,58.5,37.94802539762705
3,11,193,1,35.55,44.072279149979124
5,20,248,2,40.45,19.375717304209196
6,35,248,3,18.65,20.62005921682242
6,35,248,3,27.3,25.433297693750752
4,27,193,2,39.65,37.260498343984956
7,18,248,3,34.15,26.672033451183523
4,27,193,2,24.75,29.44374654364345
2,31,46,1,69.35,59.785823878592694
7,18,248,3,35.2,23.412996840486514
5,5,193,2,30.6,29.30672637000448
8,30,248,4,33.35,29.115514041396153
2,31,46,1,56.7,34.23771389318479
5,5,193,2,18.4,24.388090277191058
8,30,248,4,26.95,25.55793212951396
6,31,193,3,20.75,17.118395768418566
9,11,248,4,25.25,21.809884287441303
9,11,248,4,28.15,25.674634215607885
6,31,193,3,27.0,30.782770300420022
3,6,46,1,73.7,57.49517142197339
10,37,248,5,27.5,17.16023555230307
7,18,193,3,20.5,19.717745147054988
10,37,248,5,26.95,22.246170575250876
11,20,248,5,26.75,32.344974392029634
7,18,193,3,24.55,38.08505025113632
3,6,46,1,72.95,51.20492883348346
11,20,248,5,24.2,20.887165537969157
12,47,248,6,23.2,22.99336288675724
8,46,193,4,32.85,22.93532095629841
12,47,248,6,28.75,22.216340595914627
4,30,46,2,64.6,58.23943319562243
8,46,193,4,19.7,28.092141624529653
13,3,248,6,26.0,25.443435716361726
13,3,248,6,31.9,32.42627264880651
9,19,193,4,29.55,32.47748207766826
4,30,46,2,65.8,43.7812745360388
14,32,248,7,31.75,24.023836846809157
9,19,193,4,18.15,18.379837351092952
14,32,248,7,26.9,26.730428157320716
10,26,193,5,23.2,28.9074749029236
5,9,46,2,57.5,57.81322012353777
15,20,248,7,27.85,31.345737559641094
15,20,248,7,22.7,17.823993291126015
10,26,193,5,22.1,25.995748640276183
16,31,248,8,21.75,25.383117057976698
16,31,248,8,18.65,20.095233789449466
11,13,193,5,34.4,54.28133342038252
5,9,46,2,80.45,67.91440045729392
17,20,248,8,40.05,39.62385645037595
11,13,193,5,11.6,12.500105262714683
17,20,248,8,20.55,20.702084817464005
18,34,248,9,18.7,20.89346410017408
12,44,193,6,29.25,28.07672757959779
6,35,46,3,66.5,63.408865393778456
18,34,248,9,18.15,17.18712798640461
12,44,193,6,14.3,17.2110735467483
19,1,248,9,25.0,25.59810848275194
6,35,46,3,47.3,42.050220601461525
19,1,248,9,25.95,25.17198735436718
13,13,193,6,45.2,55.79624586503628
13,13,193,6,16.95,23.229914923830886
7,10,46,3,82.9,68.38043733792813
14,26,193,7,43.95,63.10849054562601
14,26,193,7,31.75,23.400123706375663
7,10,46,3,83.85,104.6011346421302
15,11,193,7,21.4,30.603405383267912
8,46,46,4,62.9,59.26470503729766
15,11,193,7,30.3,37.00227589017507
8,46,46,4,51.05,34.40390889664168
16,26,193,8,13.7,15.931101656822104
16,26,193,8,28.1,41.638671296865624
9,2,46,4,73.0,83.70185183136633
17,11,193,8,18.3,29.551204446020915
9,2,46,4,29.05,24.06892515038295
17,11,193,8,39.8,48.09814527554434
10,39,46,5,56.5,47.100676048338485
18,25,193,9,17.95,39.59063552221196
18,25,193,9,18.15,27.534237060908655
10,39,46,5,90.5,87.51992254398574
19,12,193,9,19.7,23.582107401029372
11,5,46,5,61.7,62.85329619125208
19,12,193,9,19.2,25.392912396966203
11,5,46,5,66.15,51.879693826958416
12,38,46,6,59.9,54.971667343517204
12,38,46,6,44.2,54.02494550522106
13,22,46,6,41.7,39.40224412524321
13,22,46,6,77.0,69.44744321010711
14,39,46,7,66.55,63.852193631690895
14,39,46,7,82.15,76.8575408073103
15,10,46,7,54.9,47.65434756772212
15,10,46,7,56.05,60.65300357035308
16,38,46,8,32.9,39.47137537107379
16,38,46,8,50.6,57.378154654702406
17,23,46,8,29.05,28.88721261443511
17,23,46,8,73.5,66.0275062299597
18,47,46,9,52.25,43.64314017357741
18,47,46,9,44.15,55.4723971187947
0,45,1,0,26.5,35.063101012768094
0,36,100,0,36.45,25.192887467445416
0,39,101,0,38.1,24.165874155184426
0,45,1,0,29.9,35.53486057084611
0,43,109,0,22.05,23.03195720366767
0,39,10,0,60.45,50.640606756155464
0,36,100,0,33.85,21.885527541950495
0,39,108,0,39.5,30.342778556459127
0,39,101,0,39.55,27.660488635939664
1,13,1,0,22.0,29.1655889525202
0,43,109,0,27.6,25.70971555043366
19,16,46,9,87.1,67.62193664625019
0,24,0,0,39.85,42.46518698019776
1,10,100,0,33.25,19.64654784193048
0,38,106,0,66.35,33.07610840725403
1,0,109,0,29.3,26.99532123204043
0,41,107,0,64.3,58.30960921079637
0,29,113,0,40.65,25.95598501106704
0,44,105,0,41.0,27.67099944935701
1,7,101,0,39.5,28.19947741210446
0,39,10,0,64.35,44.379078759917356
0,39,108,0,45.65,44.09472459197478
0,24,0,0,19.85,23.936923691014968
0,39,104,0,44.55,32.16483041754571
1,13,1,0,28.45,57.63996694545968
1,10,100,0,33.25,19.336017659988013
0,29,112,0,36.6,17.92205345377588
1,0,109,0,36.45,33.05573443364053
1,7,0,0,26.3,32.40224163785424
0,29,113,0,45.85,26.525608282126953
0,41,111,0,58.25,51.50255486764454
1,2,108,0,30.25,44.959484685190674
0,40,103,0,66.0,44.81775963775262
1,7,101,0,38.8,25.19941519789278
