trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,43,106,0,1.85,1.0399898784932577
0,43,106,0,1.8,1.1516578439248717
0,43,106,0,1.85,1.3088765773505315
0,43,106,0,3.05,2.523051619306314
0,33,0,0,2.55,1.79105966869954
0,40,100,0,1.9,1.0711528467275953
0,27,10,0,1.75,1.0699237552766379
0,27,1,0,1.85,1.3088765773505313
0,25,102,0,2.35,2.1095023109728985
0,43,106,0,2.0,1.3377121081198773
0,33,0,0,2.05,1.5719582155957412
0,27,10,0,1.55,1.190974832912761
0,40,100,0,2.35,2.680828622881955
0,27,1,0,2.2,1.7044832524535805
0,29,106,0,1.4,1.142481141154959
0,25,102,0,2.4,1.8750438591361565
0,29,106,0,1.3,0.5712405705774795
0,33,0,0,1.9,1.1652874052533586
0,40,100,0,1.4,0.99472291830968
0,27,10,0,1.85,1.1367080817685318
0,27,1,0,1.9,1.5861240410775603
0,25,102,0,1.75,1.019545822516343
0,29,106,0,2.3,1.8666040089734592
0,33,0,0,1.85,1.0399898784932577
0,40,100,0,1.85,1.1367080817685318
0,29,106,0,2.75,1.681947492765768
0,27,1,0,2.05,1.669383750149485
0,25,102,0,2.1,1.889026482776665
0,40,101,0,2.05,1.3168942730211068
0,29,106,0,1.45,0.998683343734455
0,33,0,0,2.25,1.6819474927657676
0,27,10,0,1.95,1.3168942730211068
0,40,100,0,1.7,0.6569466853317862
0,27,1,0,2.25,1.4464111667011887
0,25,102,0,1.95,1.1459310165698642
0,40,101,0,1.9,1.2523661815266247
0,26,106,0,2.1,1.4473205733717958
0,29,0,0,1.7,0.9233805168766387
0,25,10,0,1.85,1.1821033884786185
0,34,1,0,2.45,1.9861361590045288
0,41,100,0,1.85,1.1367080817685318
0,26,106,0,2.15,1.2258187382102497
0,43,102,0,2.05,1.3562719801759993
0,40,101,0,2.0,1.521771820505364
0,26,106,0,2.45,1.6375527311718612
0,29,0,0,2.0,1.025978352085154
0,25,10,0,2.3,1.688973528196155
0,45,107,0,2.15,1.8715318802914815
0,34,1,0,2.05,1.8771478925557026
0,41,100,0,1.9,1.1192102478745307
0,43,102,0,2.4,1.6351404253232553
0,26,106,0,2.4,2.8910023757932306
0,40,101,0,1.6,0.8825799501580877
0,29,0,0,2.0,1.2139539573337679
0,25,10,0,1.7,0.9233805168766387
0,34,1,0,1.85,1.268027892769755
0,43,102,0,2.3,1.3018205875255098
