param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,1,100,413.94634155191,28.708,32.764674147208716,24.65132585279128
0,background,2,100,486.59068500829534,25.582,30.350588713081294,20.813411286918708
0,background,3,100,517.1306665783702,25.409,30.476880532468027,20.34111946753197
0,background,4,100,514.7012035612202,24.9215,29.965571794899958,19.877428205100045
0,background,5,99,642.1456508005838,29.974747474747474,36.29947796194394,23.650016987551002
0,background,6,100,705.0441195601277,32.866,39.77543237168925,25.95656762831075
0,background,7,100,592.8900226411037,28.201,34.011322221882814,22.390677778117187
0,background,8,100,586.5170141562278,29.1975,34.94536673873103,23.44963326126897
0,background,9,100,552.6657455603608,28.345,33.76112430649154,22.928875693508463
0,background,10,100,502.7854334656715,28.0025,32.92979724796358,23.07520275203642
0,deviant,1,100,441.9539360373968,27.6785,32.00964857316649,23.347351426833512
0,deviant,2,99,363.5870669635512,26.476262626262628,30.05736639035064,22.895158862174615
0,deviant,3,100,359.7676516279566,27.713,31.238722985953974,24.18727701404603
0,deviant,4,100,394.11966523673476,28.505,32.36737271932,24.64262728068
0,deviant,5,100,370.1495288180312,28.723,32.3504653824167,25.095534617583294
0,deviant,6,100,322.338952036517,28.426,31.584921729957866,25.26707827004213
0,deviant,7,100,389.595637201337,29.6485,33.466537244573104,25.830462755426897
0,deviant,8,99,303.02928901345496,28.67222222222222,31.656869989200644,25.687574455243798
0,deviant,9,100,393.06528184192723,30.43,34.282039762050886,26.577960237949114
0,deviant,10,100,370.146457500271,32.163,35.79043528350265,28.53556471649734
1,background,1,99,283.04341307334914,15.083838383838383,17.871637852126128,12.296038915550639
1,background,2,100,463.2424112480932,15.634,20.173775630231315,11.094224369768686
1,background,3,99,468.2250723968684,15.400505050505052,20.012227307856136,10.788782793153967
1,background,4,98,521.9263635297306,16.84438775510204,22.011195148148747,11.677580362055334
1,background,5,100,481.7409737498709,15.8785,20.599561542748734,11.157438457251267
1,background,6,99,512.7955373810255,17.886868686868688,22.937581971196863,12.836155402540513
1,background,7,100,429.18388280917293,15.064,19.270002051529893,10.857997948470105
1,background,8,100,457.10257975759964,16.592,21.071605281624475,12.112394718375523
1,background,9,100,482.2047937939799,17.769,22.494606979181,13.043393020818996
1,background,10,100,424.61906147560194,16.293,20.4542668024609,12.1317331975391
1,deviant,1,100,247.86094892096253,15.0015,17.43053729942543,12.572462700574567
1,deviant,2,99,163.11115034975705,13.844444444444445,15.450986611525424,12.237902277363466
1,deviant,3,98,156.95324479803395,14.85204081632653,16.40579866848944,13.298282964163622
1,deviant,4,100,149.90413603366653,13.8665,15.335560533129932,12.397439466870068
1,deviant,5,100,201.3045022635583,15.1485,17.12128412218287,13.17571587781713
1,deviant,6,100,281.67748915157705,17.3015,20.061939393685456,14.541060606314545
1,deviant,7,100,223.5189383239677,16.712,18.902485595574884,14.521514404425115
1,deviant,8,100,212.26040982469476,16.3265,18.40665201628201,14.24634798371799
1,deviant,9,100,242.4866843875415,17.8755,20.251869506997906,15.499130493002092
1,deviant,10,100,226.48211849945238,16.459500000000002,18.679024761294635,14.23997523870537
2,background,1,99,330.3412788712845,24.094444444444445,27.348098121070397,20.840790767818493
2,background,2,100,451.5008101642204,23.4835,27.90820793960936,19.05879206039064
2,background,3,100,531.3580688842703,25.7345,30.941809075065848,20.527190924934153
2,background,4,100,680.6938661936687,30.1025,36.77329988869795,23.431700111302046
2,background,5,100,627.1793162540057,28.605,34.75135729928925,22.458642700710744
2,background,6,100,598.5651417743674,27.4895,33.3554383893888,21.6235616106112
2,background,7,100,577.2440831909388,27.568,33.2249920152712,21.9110079847288
2,background,8,100,526.543857822429,26.5645,31.724629806659802,21.404370193340196
2,background,9,100,532.8406348105061,26.919,32.14083822114296,21.69716177885704
2,background,10,100,521.9048738691957,27.2945,32.40916776391812,22.179832236081882
2,deviant,1,98,365.2822196603608,24.056122448979593,27.672231932941607,20.44001296501758
2,deviant,2,100,324.40334705262734,25.685,28.864152801115747,22.50584719888425
2,deviant,3,100,405.4050021761864,28.595,32.567969021326626,24.622030978673372
2,deviant,4,100,371.22997908092094,27.1815,30.819553794993027,23.543446205006973
2,deviant,5,100,338.9861043573444,27.736,31.058063822701975,24.413936177298027
2,deviant,6,99,330.11203839717336,27.54040404040404,30.791799842646352,24.28900823816173
2,deviant,7,100,332.69691834112956,28.9985,32.25892979974307,25.73807020025693
