param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,1,99,447.10240496592695,27.586363636363636,31.990040914347766,23.182686358379506
0,background,2,100,417.64363744074547,25.276500000000002,29.369407646919306,21.183592353080698
0,background,3,100,463.6053335145724,25.194,29.73733226844281,20.65066773155719
0,background,4,100,599.6832387536817,27.4145,33.29139573978608,21.537604260213918
0,background,5,99,685.9648832503246,29.20808080808081,35.96440315462399,22.45175846153763
0,background,6,100,681.0178682252803,28.266,34.93997510860775,21.592024891392253
0,background,7,100,725.7695045151805,30.638,37.75054114424877,23.525458855751232
0,background,8,100,838.5483258207857,34.208999999999996,42.4267735930437,25.991226406956294
0,background,9,100,771.0453652432897,32.5065,40.062744579384244,24.950255420615765
0,background,10,100,799.7024940234767,33.15,40.98708444143007,25.312915558569927
0,deviant,1,98,444.0677639137617,28.258163265306123,32.65420984568287,23.862116684929376
0,deviant,2,100,325.3945499818563,25.6445,28.83336658982219,22.45563341017781
0,deviant,3,100,371.81981346374016,27.382,31.025834171944656,23.738165828055347
0,deviant,4,100,420.1950424317385,28.346,32.463911415831035,24.22808858416896
0,deviant,5,100,388.31941545724015,28.153,31.958530271480953,24.347469728519044
0,deviant,6,100,359.23873824050713,28.113500000000002,31.63403963475697,24.592960365243034
0,deviant,7,100,358.21990820106436,26.8815,30.39205510037043,23.370944899629567
0,deviant,8,100,360.62754879150384,28.2875,31.82164997815674,24.753350021843264
0,deviant,9,99,446.16695895500584,28.800505050505052,33.19496877406111,24.406041326948994
0,deviant,10,99,350.87690149110705,29.604040404040404,33.059957038135934,26.148123769944874
1,background,1,100,163.65524578724697,14.5615,16.16532140871502,12.95767859128498
1,background,2,99,397.9134162630173,15.959090909090909,19.87828760841537,12.039894209766448
1,background,3,100,468.15990857825494,15.94,20.527967104066896,11.352032895933101
1,background,4,100,405.8860969338695,14.3555,18.33318374995192,10.377816250048078
1,background,5,99,503.29802565833586,16.07020202020202,21.027370791894924,11.11303324850912
1,background,6,100,539.0458260960556,17.0695,22.352149095741346,11.786850904258657
1,background,7,100,556.9718999809785,16.8565,22.31482461981359,11.398175380186412
1,background,8,100,620.5377803503226,18.964,25.04527024743316,12.882729752566838
1,background,9,100,555.0535630862456,17.405,22.84452491824521,11.965475081754793
1,background,10,100,772.5207917488115,24.287,31.857703759138353,16.716296240861645
1,deviant,1,100,327.86991563567915,15.6315,18.844625173229655,12.418374826770345
1,deviant,2,98,190.16487998299624,14.42908163265306,16.311617899166098,12.546545366140025
1,deviant,3,100,260.23933316529184,14.067,16.61734546501986,11.516654534980141
1,deviant,4,99,207.1156300488361,14.143434343434343,16.183392938671453,12.103475748197233
1,deviant,5,100,234.02556090712557,13.952,16.24545049688983,11.65854950311017
1,deviant,6,100,245.56594140667667,14.804,17.210546225785432,12.397453774214569
1,deviant,7,100,242.93329710458642,16.1115,18.492246311624946,13.730753688375053
1,deviant,8,99,250.03931269849713,15.935353535353535,18.398083388074976,13.472623682632094
1,deviant,9,98,283.51807702508137,15.814285714285715,18.620971482233383,13.007599946338045
1,deviant,10,99,263.732310456924,16.025252525252526,18.62284978737846,13.427655263126592
2,background,1,99,471.1052653628821,25.905555555555555,30.545645900798295,21.265465210312815
2,background,2,100,528.7881627387585,24.239,29.421123994839835,19.056876005160166
2,background,3,99,646.8969555134971,28.244949494949495,34.61647734304728,21.87342164685171
2,background,4,98,546.902370292522,24.675,30.08905724553174,19.26094275446826
2,background,5,100,753.8641944569398,31.2485,38.63636910567801,23.86063089432199
2,background,6,98,766.8324492763447,30.862244897959183,38.45349884679988,23.270990949118488
2,background,7,99,678.082845039485,28.104545454545455,34.78323468574916,21.425856223341754
2,background,8,100,696.4025548639615,28.6405,35.46524503766682,21.815754962333177
2,background,9,100,876.2081704108543,36.388,44.974840070026374,27.801159929973625
2,background,10,100,827.1217819071526,34.332,42.437793462690095,26.226206537309906
2,deviant,1,99,473.5064080042134,25.585353535353537,30.249093624309097,20.921613446397977
2,deviant,2,100,330.7981695042589,23.7635,27.005322061141737,20.521677938858264
2,deviant,3,99,415.2208670347056,25.124242424242425,29.213906620177468,21.03457822830738
2,deviant,4,100,390.4988274124857,26.2385,30.065388508642357,22.41161149135764
2,deviant,5,100,336.7877123024157,25.149,28.449519580563674,21.848480419436328
2,deviant,6,98,408.9947818480663,28.163265306122447,32.21210707812797,24.114423534116924
2,deviant,7,100,369.6138418745477,27.4805,31.102715650370566,23.858284349629432
2,deviant,8,100,372.1890436465404,26.352999999999998,30.000452627736095,22.7055473722639
2,deviant,9,99,299.46157824018974,25.167676767676767,28.117184829093006,22.218168706260528
2,deviant,10,100,436.3825156900766,27.943,32.21954865376275,23.666451346237253
3,background,1,100,234.2872449748273,13.5625,15.858515000753307,11.266484999246693
3,background,2,100,315.9573755396362,12.527000000000001,15.623382280288435,9.430617719711567
3,background,3,100,338.12488739175086,12.916500000000001,16.23012389643916,9.602876103560842
3,background,4,99,516.6294355572576,15.607070707070706,20.695545475339152,10.51859593880226
3,background,5,100,577.6157231968417,17.6545,23.31513408732905,11.99386591267095
3,background,6,100,658.5308249189412,18.687,25.140602084205625,12.233397915794377
3,background,7,100,642.3257883823851,19.1005,25.395292726147375,12.805707273852626
3,background,8,99,698.0692282062153,20.671717171717173,27.54725969747455,13.796174645959796
3,background,9,100,648.9869859209326,19.1115,25.47157246202514,12.751427537974859
3,background,10,100,632.4893550175578,19.13,25.328395679172065,12.931604320827933
3,deviant,1,100,307.03795410854,13.633,16.64197195026369,10.624028049736307
3,deviant,2,100,236.08217793141884,13.475,15.788605343727905,11.161394656272094
3,deviant,3,100,154.8777276638439,13.167,14.68480173110567,11.64919826889433
3,deviant,4,100,187.4292357692701,13.1125,14.949306510538847,11.275693489461155
3,deviant,5,100,258.78962701899695,14.1825,16.718638344786168,11.646361655213829
3,deviant,6,100,154.91685376016184,13.007,14.525185166849585,11.488814833150414
3,deviant,7,99,187.59685919265107,14.023737373737374,15.871448361359601,12.176026386115147
3,deviant,8,100,247.92478167464628,15.4055,17.835162860411533,12.975837139588467
3,deviant,9,100,237.37565720094165,14.8045,17.13078144056923,12.478218559430772
3,deviant,10,100,252.47687231235972,15.159500000000001,17.633773348661126,12.685226651338876
4,background,1,99,380.87359071647796,24.55808080808081,28.30944595081629,20.80671566534533
4,background,2,100,497.3862842796066,24.15,29.024385585940145,19.275614414059852
4,background,3,100,631.6667634124815,27.721,33.91133428144232,21.53066571855768
4,background,4,96,739.2860496167197,31.39375,38.788150515035305,23.999349484964696
4,background,5,99,787.4624752964424,31.39040404040404,39.146413784955406,23.634394295852672
4,background,6,100,748.2564593422288,30.6325,37.965413301553845,23.29958669844616
4,background,7,100,814.8314856459585,33.4195,41.40484855933039,25.434151440669606
4,background,8,99,817.0659897333552,33.66464646464647,41.71223219363979,25.61706073565314
4,background,9,100,647.7711767039508,27.5695,33.91765753169872,21.221342468301284
4,background,10,100,779.3204512839849,31.8095,39.44684042258305,24.17215957741695
4,deviant,1,100,477.75153749511617,25.301,29.982965067452138,20.61903493254786
