param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.3,5
1,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.6,5
2,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.3,5
3,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.6,5
4,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.3,5
5,surprisal,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.6,5
6,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.3,5
7,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.6,5
8,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.3,5
9,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.6,5
10,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.3,5
11,surprisal,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.6,5
12,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.3,5
13,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.6,5
14,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.3,5
15,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.6,5
16,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.3,5
17,surprisal,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.6,5
18,surprisal,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.3,5
