trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,5,23,8,46.2,43.38275184788001
0,5,23,8,34.05,42.151949446084494
0,2,23,8,60.9,78.75939375886003
0,2,23,8,66.0,67.72156618327568
0,2,23,8,58.6,94.48720325497717
0,2,23,8,40.0,55.16291660546107
0,1,23,8,71.05,100.75738186356372
0,1,23,8,76.65,63.335593219145366
0,4,23,8,60.6,81.57424774239013
0,4,23,8,39.2,38.90961185538661
0,1,23,8,29.8,32.97143899610213
0,1,23,8,65.8,49.787548644214255
0,1,23,8,85.5,87.01693725029084
0,1,23,8,58.9,58.11141748490793
0,4,23,8,57.05,59.05704200623593
0,4,23,8,76.55,47.28132489906058
0,0,23,8,52.05,54.55511457522374
0,0,23,8,61.55,62.59264712156063
0,4,23,8,95.3,92.47537367776407
0,4,23,8,59.2,64.68270736123331
0,2,23,8,77.9,72.17442322887696
0,2,23,8,98.3,90.99051425401731
0,1,23,8,49.7,55.30879819608032
0,1,23,8,41.9,44.47222669676459
0,3,23,8,30.95,34.749441494943866
0,3,23,8,62.15,78.65733478696997
0,5,23,8,44.9,72.63600673002482
0,5,23,8,89.4,64.22690041440663
0,5,23,8,35.95,44.129564025181935
0,5,23,8,95.6,100.06440031562832
0,3,23,8,92.8,96.72837715669802
0,3,23,8,57.05,58.352355294547046
0,2,23,8,55.7,65.47807989982924
0,2,23,8,69.8,82.25224361041691
0,5,23,8,54.4,62.51601899976475
0,5,23,8,45.3,51.30209803855876
0,0,23,8,49.4,52.37255207192329
0,0,23,8,70.4,96.66894129205262
0,0,23,8,64.15,90.16842427835869
0,0,23,8,35.1,58.014426517983665
1,0,23,9,73.85,75.97109907548293
1,0,23,9,64.8,77.9875833571905
1,5,23,9,50.1,66.60875554902279
1,5,23,9,57.8,99.53713932629948
1,0,23,9,71.0,92.75718159173502
1,0,23,9,57.35,68.58822593450064
1,2,23,9,46.45,57.55224171407912
1,2,23,9,61.45,77.92943839410786
1,0,23,9,60.4,61.714452798437144
1,0,23,9,37.85,35.33341194959807
1,5,23,9,65.4,83.82965183224722
1,5,23,9,86.0,105.77284498793678
1,2,23,9,42.35,74.79394501245615
1,2,23,9,64.45,78.28858557656376
1,5,23,9,60.45,72.88381164565969
1,5,23,9,39.05,53.42330951934745
1,0,23,9,56.35,66.86142385561348
1,0,23,9,34.85,51.79542247606138
1,0,23,9,50.0,63.189772656823614
1,0,23,9,74.4,80.33639799060735
1,3,23,9,72.7,81.83365669711364
1,3,23,9,65.3,81.43844947340033
1,0,23,9,35.1,55.948190319258764
1,0,23,9,39.85,52.87748998740789
1,2,23,9,86.25,75.90636544973994
1,2,23,9,34.85,61.785942022267065
1,5,23,9,55.65,68.76755278319473
1,5,23,9,91.9,105.19200489931181
1,3,23,9,68.25,73.07737427945086
1,3,23,9,74.95,101.79467207647902
1,3,23,9,80.6,99.28873365885451
1,3,23,9,61.35,67.70157037749529
1,0,23,9,53.75,61.773674345187395
1,0,23,9,68.2,69.87552843223592
1,0,23,9,83.35,83.7057974474635
1,0,23,9,88.8,93.56427568367388
1,5,23,9,79.3,98.37795003267541
1,5,23,9,53.1,62.543374422959666
1,1,23,9,65.85,87.07424236943164
1,1,23,9,49.55,49.26456503838284
2,24,23,8,48.2,67.04719468993072
2,24,23,8,51.9,54.52078309666584
2,24,23,8,72.6,79.15767077235952
2,24,23,8,37.35,47.39117728238586
2,24,23,8,31.3,39.36616233317778
2,24,23,8,30.25,33.74030075053929
2,24,23,8,59.15,70.04680765857853
2,24,23,8,48.75,47.20936013345792
2,24,23,8,55.5,64.98866297893404
2,24,23,8,41.9,33.51182038122008
2,28,23,8,48.4,56.97127623451553
2,28,23,8,56.15,57.44954307912292
2,29,23,8,34.7,42.25374477331472
2,29,23,8,44.0,48.89946722344572
2,26,23,8,49.0,45.26762523853932
2,26,23,8,35.0,51.83171148813701
2,27,23,8,55.9,51.330610545242564
