param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
23,animacy,9,40,435.70360519388345,60.395,67.14629730808126,53.64370269191874
23,animacy,10,40,482.16672700589675,61.575,69.04625083950754,54.10374916049246
23,background,9,40,321.83536163697113,46.4575,51.44439059434835,41.47060940565166
23,background,10,40,350.53059405481434,46.75875,52.190277827246945,41.327222172753054
23,identity,9,40,461.4538495485306,59.01875,66.16905147816749,51.868448521832505
23,identity,10,40,413.3572113929141,54.3475,60.75253634876082,47.94246365123917
23,number,9,40,405.55383184765475,54.9825,61.26662172999286,48.69837827000714
23,number,10,40,388.90126605199185,54.5275,60.55358754967233,48.50141245032768
23,pose,9,40,343.207279704416,45.8525,51.17055189574053,40.53444810425947
23,pose,10,40,346.8475245164046,48.3425,53.71695807348836,42.968041926511646
